predictor,N,H,n_reliable,coverage,blended_acc,pull_yield,n_scored
VIX/Dollar,26,1,1,0.2194,0.6077,0.1333,825
VIX/Dollar,26,2,3,0.3786,0.6955,0.2633,824
VIX/Dollar,26,3,3,0.3779,0.6945,0.2625,823
VIX/Dollar,26,4,1,0.2153,0.6836,0.1472,822
VIX/Dollar,26,6,1,0.2146,0.7159,0.1537,820
VIX/Dollar,26,8,0,0.0,0.0,0.0,818
VIX/Dollar,26,13,0,0.0,0.0,0.0,813
VIX/SP,8,1,2,0.4776,0.5812,0.2776,825
VIX/SP,8,2,1,0.1238,0.6471,0.0801,824
VIX/SP,8,3,1,0.3524,0.6379,0.2248,823
VIX/SP,8,4,1,0.3516,0.6505,0.2287,822
VIX/SP,8,6,0,0.0,0.0,0.0,820
VIX/SP,8,8,1,0.1553,0.748,0.1161,818
VIX/SP,8,13,0,0.0,0.0,0.0,813
Gold/Dollar,8,1,2,0.3515,0.6586,0.2315,825
Gold/Dollar,8,2,2,0.3507,0.7024,0.2464,824
Gold/Dollar,8,3,1,0.2564,0.7536,0.1932,823
Gold/Dollar,8,4,2,0.3491,0.7561,0.264,822
Gold/Dollar,8,6,2,0.3488,0.7972,0.278,820
Gold/Dollar,8,8,1,0.2543,0.8221,0.209,818
Gold/Dollar,8,13,1,0.2534,0.8495,0.2153,813
