t,dir
4333,1
4335,1
4336,1
4339,1
4340,1
4342,1
4343,1
4344,1
4345,1
4346,1
4347,1
4348,1
4349,1
4350,1
4351,1
4388,1
4389,1
4390,1
4391,1
4392,1
4393,1
4394,1
4395,1
4396,1
4397,1
4399,1
4400,1
4401,1
4403,1
4404,1
4405,1
4406,1
4407,1
4408,1
4409,1
4410,1
4411,1
4412,1
4414,1
4415,1
4416,1
4417,1
4418,1
4419,1
4420,1
4421,1
4423,1
4425,1
4426,1
4427,1
4428,1
4429,1
4430,1
4431,1
4432,1
4433,1
4434,1
4439,1
4440,1
4441,1
4442,1
4443,1
4444,1
4445,1
4449,1
4455,1
4456,1
4457,1
4458,1
4459,1
4460,1
4461,1
4462,1
4463,1
4464,1
4465,1
4466,1
4469,1
4470,1
4471,1
4472,1
4473,1
4474,1
4475,1
4476,1
4477,1
4478,1
4479,1
4480,1
4481,1
4482,1
4483,1
4484,1
4485,1
4486,1
4487,1
4488,1
4489,1
4490,1
4491,1
4492,1
4493,1
4494,1
4495,1
4496,1
4497,1
4499,1
4500,1
4501,1
4502,1
4503,1
4504,1
4505,1
4506,1
4507,1
4508,1
4509,1
4510,1
4511,1
4513,1
4514,1
4515,1
4516,1
4517,1
4518,1
4519,1
4520,1
4521,1
4522,1
4523,1
4524,1
4525,1
4527,1
4528,1
4529,1
4530,1
4531,1
4532,1
4533,1
4534,1
4535,1
4536,1
4537,1
4538,1
4539,1
4541,1
4542,1
4543,1
4544,1
4545,1
4546,1
4547,1
4548,1
4549,1
4551,1
4552,1
4553,1
4554,1
4555,1
4556,1
4557,1
4558,1
4559,1
4560,1
4561,1
4563,1
4564,1
4565,1
4566,1
4567,1
4568,1
4569,1
4571,1
4572,1
4573,1
4574,1
4575,1
4576,1
4577,1
4579,1
4580,1
4581,1
4582,1
4583,1
4585,1
4586,1
4587,1
4588,1
4589,1
4590,1
4591,1
4592,1
4594,1
4595,1
4596,1
4597,1
4599,1
4600,1
4601,1
4602,1
4603,1
4604,1
4607,1
4608,1
4610,1
4611,1
4612,1
4613,1
4614,1
4616,1
4618,1
4619,1
4620,1
4621,1
4622,1
4623,1
4624,1
4625,1
4627,1
4628,1
4629,1
4630,1
4631,1
4633,1
4634,1
4635,1
4636,1
4637,1
4638,1
4639,1
4640,1
4642,1
4643,1
4644,1
4645,1
4646,1
4647,1
4648,1
4649,1
4651,1
4652,1
4658,1
4659,1
4660,1
4661,1
4662,1
4664,1
4665,1
4666,1
4668,1
4669,1
4670,1
4671,1
4672,1
4673,1
4675,1
4676,1
4678,1
4679,1
4680,1
4681,1
4682,1
4683,1
4684,1
4685,1
4687,1
4688,1
4689,1
4690,1
4691,1
4692,1
4693,1
4695,1
4696,1
4697,1
4698,1
4699,1
4700,1
4701,1
4703,1
4706,1
4708,1
4710,1
4711,1
4712,1
4713,1
4714,1
4715,1
4716,1
4718,1
4719,1
4720,1
4722,1
4723,1
4724,1
4725,1
4726,1
4727,1
4728,1
4729,1
4730,1
4731,1
4732,1
4733,1
4734,1
4735,1
4736,1
4738,1
4739,1
4740,1
4741,1
4742,1
4743,1
4744,1
4745,1
4746,1
4747,1
4748,1
4749,1
4750,1
4751,1
4752,1
4753,1
4754,1
4755,1
4756,1
4758,1
4759,1
4768,1
4769,1
4770,1
4771,1
4772,1
4773,1
