t,date,rd
4153,2007-08-03,1
4154,2007-08-10,1
4155,2007-08-17,1
4156,2007-08-24,1
4157,2007-08-31,1
4158,2007-09-07,1
4159,2007-09-14,1
4160,2007-09-21,1
4161,2007-09-28,1
4162,2007-10-05,1
4163,2007-10-12,1
4164,2007-10-19,1
4165,2007-10-26,1
4166,2007-11-02,1
4167,2007-11-09,1
4168,2007-11-16,1
4169,2007-11-23,1
4170,2007-11-30,1
4171,2007-12-07,1
4172,2007-12-14,1
4173,2007-12-21,1
4174,2007-12-28,1
4175,2008-01-04,1
4176,2008-01-11,1
4177,2008-01-18,1
4178,2008-01-25,1
4179,2008-02-01,1
4180,2008-02-08,1
4181,2008-02-15,1
4182,2008-02-22,1
4183,2008-02-29,1
4184,2008-03-07,1
4185,2008-03-14,1
4186,2008-03-21,1
4187,2008-03-28,1
4188,2008-04-04,1
4189,2008-04-11,1
4190,2008-04-18,1
4191,2008-04-25,1
4192,2008-05-02,1
4193,2008-05-09,1
4194,2008-05-16,1
4195,2008-05-23,1
4196,2008-05-30,1
4197,2008-06-06,1
4198,2008-06-13,1
4199,2008-06-20,1
4200,2008-06-27,1
4201,2008-07-04,1
4202,2008-07-11,1
4203,2008-07-18,1
4204,2008-07-25,1
4205,2008-08-01,1
4206,2008-08-08,1
4207,2008-08-15,1
4208,2008-08-22,1
4209,2008-08-29,1
4210,2008-09-05,1
4211,2008-09-12,-1
4212,2008-09-19,1
4213,2008-09-26,1
4214,2008-10-03,1
4215,2008-10-10,1
4216,2008-10-17,1
4217,2008-10-24,1
4218,2008-10-31,1
4219,2008-11-07,1
4220,2008-11-14,1
4221,2008-11-21,1
4222,2008-11-28,1
4223,2008-12-05,1
4224,2008-12-12,1
4225,2008-12-19,1
4226,2008-12-26,1
4227,2009-01-02,1
4228,2009-01-09,1
4229,2009-01-16,-1
4230,2009-01-23,-1
4231,2009-01-30,1
4232,2009-02-06,1
4233,2009-02-13,1
4234,2009-02-20,1
4235,2009-02-27,1
4236,2009-03-06,1
4237,2009-03-13,1
4238,2009-03-20,1
4239,2009-03-27,1
4240,2009-04-03,1
4241,2009-04-10,1
4242,2009-04-17,1
4243,2009-04-24,1
4244,2009-05-01,1
4245,2009-05-08,1
4246,2009-05-15,1
4247,2009-05-22,1
4248,2009-05-29,1
4249,2009-06-05,1
4250,2009-06-12,1
4251,2009-06-19,1
4252,2009-06-26,1
4253,2009-07-03,1
4254,2009-07-10,1
4255,2009-07-17,1
4256,2009-07-24,1
4257,2009-07-31,1
4258,2009-08-07,1
4259,2009-08-14,1
4260,2009-08-21,1
4261,2009-08-28,1
4262,2009-09-04,1
4263,2009-09-11,1
4264,2009-09-18,1
4265,2009-09-25,1
4266,2009-10-02,1
4267,2009-10-09,-1
4268,2009-10-16,-1
4269,2009-10-23,-1
4270,2009-10-30,-1
4271,2009-11-06,-1
4272,2009-11-13,-1
4273,2009-11-20,1
4274,2009-11-27,1
4275,2009-12-04,1
4276,2009-12-11,1
4277,2009-12-18,1
4278,2009-12-25,1
4279,2010-01-01,1
4280,2010-01-08,1
4281,2010-01-15,1
4282,2010-01-22,1
4283,2010-01-29,1
4284,2010-02-05,1
4285,2010-02-12,1
4286,2010-02-19,1
4287,2010-02-26,1
4288,2010-03-05,1
4289,2010-03-12,1
4290,2010-03-19,1
4291,2010-03-26,1
4292,2010-04-02,1
4293,2010-04-09,1
4294,2010-04-16,1
4295,2010-04-23,1
4296,2010-04-30,1
4297,2010-05-07,1
4298,2010-05-14,1
4299,2010-05-21,1
4300,2010-05-28,1
4301,2010-06-04,1
4302,2010-06-11,1
4303,2010-06-18,1
4304,2010-06-25,1
4305,2010-07-02,1
4306,2010-07-09,1
4307,2010-07-16,1
4308,2010-07-23,1
4309,2010-07-30,1
4310,2010-08-06,1
4311,2010-08-13,1
4312,2010-08-20,1
4313,2010-08-27,1
4314,2010-09-03,1
4315,2010-09-10,1
4316,2010-09-17,1
4317,2010-09-24,1
4318,2010-10-01,1
4319,2010-10-08,1
4320,2010-10-15,1
4321,2010-10-22,1
4322,2010-10-29,1
4323,2010-11-05,-1
4324,2010-11-12,-1
4325,2010-11-19,-1
4326,2010-11-26,1
4327,2010-12-03,1
4328,2010-12-10,1
4329,2010-12-17,1
4330,2010-12-24,1
4331,2010-12-31,1
4332,2011-01-07,-1
4333,2011-01-14,1
4334,2011-01-21,1
4335,2011-01-28,1
4336,2011-02-04,1
4337,2011-02-11,-1
4338,2011-02-18,-1
4339,2011-02-25,1
4340,2011-03-04,1
4341,2011-03-11,1
4342,2011-03-18,1
4343,2011-03-25,1
4344,2011-04-01,1
4345,2011-04-08,1
4346,2011-04-15,1
4347,2011-04-22,1
4348,2011-04-29,1
4349,2011-05-06,1
4350,2011-05-13,1
4351,2011-05-20,1
4352,2011-05-27,1
4353,2011-06-03,1
4354,2011-06-10,1
4355,2011-06-17,1
4356,2011-06-24,1
4357,2011-07-01,1
4358,2011-07-08,1
4359,2011-07-15,1
4360,2011-07-22,1
4361,2011-07-29,1
4362,2011-08-05,1
4363,2011-08-12,1
4364,2011-08-19,1
4365,2011-08-26,1
4366,2011-09-02,-1
4367,2011-09-09,-1
4368,2011-09-16,-1
4369,2011-09-23,-1
4370,2011-09-30,-1
4371,2011-10-07,1
4372,2011-10-14,1
4373,2011-10-21,1
4374,2011-10-28,1
4375,2011-11-04,1
4376,2011-11-11,1
4377,2011-11-18,1
4378,2011-11-25,1
4379,2011-12-02,1
4380,2011-12-09,1
4381,2011-12-16,1
4382,2011-12-23,1
4383,2011-12-30,1
4384,2012-01-06,1
4385,2012-01-13,1
4386,2012-01-20,1
4387,2012-01-27,1
4388,2012-02-03,1
4389,2012-02-10,1
4390,2012-02-17,1
4391,2012-02-24,1
4392,2012-03-02,1
4393,2012-03-09,1
4394,2012-03-16,1
4395,2012-03-23,1
4396,2012-03-30,1
4397,2012-04-06,1
4398,2012-04-13,1
4399,2012-04-20,1
4400,2012-04-27,1
4401,2012-05-04,1
4402,2012-05-11,1
4403,2012-05-18,1
4404,2012-05-25,1
4405,2012-06-01,1
4406,2012-06-08,1
4407,2012-06-15,1
4408,2012-06-22,1
4409,2012-06-29,1
4410,2012-07-06,1
4411,2012-07-13,1
4412,2012-07-20,1
4413,2012-07-27,-1
4414,2012-08-03,1
4415,2012-08-10,1
4416,2012-08-17,1
4417,2012-08-24,1
4418,2012-08-31,1
4419,2012-09-07,1
4420,2012-09-14,1
4421,2012-09-21,1
4422,2012-09-28,-1
4423,2012-10-05,1
4424,2012-10-12,1
4425,2012-10-19,1
4426,2012-10-26,1
4427,2012-11-02,1
4428,2012-11-09,1
4429,2012-11-16,1
4430,2012-11-23,1
4431,2012-11-30,1
4432,2012-12-07,1
4433,2012-12-14,1
4434,2012-12-21,1
4435,2012-12-28,-1
4436,2013-01-04,-1
4437,2013-01-11,-1
4438,2013-01-18,-1
4439,2013-01-25,1
4440,2013-02-01,1
4441,2013-02-08,1
4442,2013-02-15,1
4443,2013-02-22,1
4444,2013-03-01,1
4445,2013-03-08,1
4446,2013-03-15,-1
4447,2013-03-22,-1
4448,2013-03-29,-1
4449,2013-04-05,1
4450,2013-04-12,-1
4451,2013-04-19,-1
4452,2013-04-26,-1
4453,2013-05-03,-1
4454,2013-05-10,-1
4455,2013-05-17,1
4456,2013-05-24,1
4457,2013-05-31,1
4458,2013-06-07,1
