date,t,P,n_cycles,conf,R,ecv,quality,pattern,analogue_dir,analogue_conf,markov_dir,markov_up,comp_dir,realized,ret_next,strong
1978-04-01,123,73,2,low,,,,+2+2+1-2,0,,-1,0.4,0,1,0.028089887640449396,False
1978-05-01,124,73,2,low,,,,+2+1-2+2,0,,1,0.6923076923076923,0,1,0.010928961748633892,False
1978-06-01,125,73,2,low,,,,+1-2+2+1,0,,1,0.5833333333333334,0,1,0.0108108108108107,False
1978-07-01,126,73,2,low,,,,-2+2+1+1,0,,1,0.56,0,1,0.11229946524064172,False
1978-08-01,127,73,2,low,,,,+2+1+1+3,0,,1,0.8125,0,1,0.04807692307692313,False
1978-09-01,128,73,2,low,,,,+1+1+3+2,0,,1,0.7333333333333333,0,1,0.050458715596330306,False
1978-10-01,129,73,2,low,,,,+1+3+2+2,0,,1,0.7333333333333333,0,-1,-0.15720524017467252,False
1978-11-01,130,73,2,low,,,,+3+2+2-3,0,,0,,0,1,0.17098445595854916,False
1978-12-01,131,73,2,low,,,,+2+2-3+3,0,,1,0.8235294117647058,0,0,0.0,False
1979-01-01,132,73,2,low,,,,+2-3+3+1,0,,1,0.5925925925925926,0,1,0.0752212389380531,False
1979-02-01,133,73,2,low,,,,-3+3+1+2,0,,1,0.7058823529411765,0,-1,-0.016460905349794275,False
1979-03-01,134,73,2,low,,,,+3+1+2-1,0,,-1,0.3,0,1,0.008368200836819994,False
1979-04-01,135,73,2,low,,,,+1+2-1+1,0,,1,0.5925925925925926,0,1,0.09543568464730301,False
1979-05-01,136,73,2,low,,,,+2-1+1+3,0,,1,0.7777777777777778,0,1,0.06439393939393945,False
1979-06-01,137,73,2,low,,,,-1+1+3+2,0,,1,0.6666666666666666,0,1,0.04982206405693956,False
1979-07-01,138,73,2,low,,,,+1+3+2+2,0,,1,0.6666666666666666,0,1,0.06779661016949157,False
1979-08-01,139,73,2,low,,,,+3+2+2+2,0,,1,0.6666666666666666,0,1,0.2126984126984126,False
1979-09-01,140,73,2,low,,,,+2+2+2+3,0,,1,0.7894736842105263,0,1,0.04450261780104703,False
1979-10-01,141,73,2,low,,,,+2+2+3+2,0,,1,0.6842105263157895,0,-1,-0.03508771929824561,False
1979-11-01,142,73,2,low,,,,+2+3+2-2,0,,-1,0.45454545454545453,0,1,0.36103896103896105,False
1979-12-01,143,73,2,low,,,,+3+2-2+3,0,,1,0.7894736842105263,0,1,0.28816793893129766,False
1980-01-01,144,73,2,low,,,,+2-2+3+3,0,,1,0.8,0,-1,-0.014814814814814836,False
1980-02-01,145,73,2,low,,,,-2+3+3-1,0,,-1,0.3333333333333333,0,-1,-0.1669172932330827,False
1980-03-01,146,73,2,low,,,,+3+3-1-3,0,,0,,0,-1,-0.06498194945848379,False
1980-04-01,147,73,2,low,,,,+3-1-3-2,0,,1,0.5,0,-1,-0.007722007722007707,False
1980-05-01,148,73,2,low,,,,-1-3-2-1,0,,-1,0.3333333333333333,0,1,0.16731517509727634,False
1980-06-01,149,73,2,low,,,,-3-2-1+3,0,,1,0.7727272727272727,0,1,0.07499999999999996,False
1980-07-01,150,73,2,low,,,,-2-1+3+2,0,,1,0.6818181818181818,0,-1,-0.02635658914728678,False
1980-08-01,151,73,2,low,,,,-1+3+2-1,0,,-1,0.3181818181818182,0,1,0.07484076433121012,False
1980-09-01,152,73,2,low,,,,+3+2-1+2,0,,1,0.6818181818181818,0,-1,-0.014814814814814836,False
1980-10-01,153,73,2,low,,,,+2-1+2-1,0,,-1,0.34782608695652173,0,-1,-0.06466165413533831,False
1980-11-01,154,73,2,low,,,,-1+2-1-2,0,,-1,0.46153846153846156,0,-1,-0.045016077170418,False
1980-12-01,155,73,2,low,,,,+2-1-2-1,0,,-1,0.375,0,-1,-0.062289562289562284,False
1981-01-01,156,73,2,low,,,,-1-2-1-2,0,,-1,0.46153846153846156,0,-1,-0.09694793536804314,False
1981-02-01,157,73,2,low,,,,-2-1-2-2,0,,-1,0.46153846153846156,0,-1,-0.007952286282306154,False
1981-03-01,158,73,2,low,,,,-1-2-2-1,0,,-1,0.36,0,-1,-0.018036072144288595,False
1981-04-01,159,73,2,low,,,,-2-2-1-1,0,,-1,0.34615384615384615,0,-1,-0.01836734693877551,False
1981-05-01,160,73,2,low,,,,-2-1-1-1,0,,-1,0.34615384615384615,0,-1,-0.043659043659043606,False
1981-06-01,161,73,2,low,,,,-1-1-1-1,0,,-1,0.34615384615384615,0,-1,-0.11304347826086958,False
1981-07-01,162,73,2,low,,,,-1-1-1-2,0,,-1,0.375,0,1,0.004901960784313708,False
1981-08-01,163,73,2,low,,,,-1-1-2+1,0,,1,0.6206896551724138,0,1,0.08780487804878057,False
1981-09-01,164,73,2,low,,,,-1-2+1+2,0,,1,0.625,0,-1,-0.020179372197309364,False
1981-10-01,165,73,2,low,,,,-2+1+2-1,0,,-1,0.3,0,-1,-0.06407322654462244,False
1981-11-01,166,73,2,low,,,,+1+2-1-2,0,,-1,0.4117647058823529,0,-1,-0.02933985330073352,False
1981-12-01,167,73,2,low,,,,+2-1-2-1,0,,-1,0.3,0,-1,-0.03778337531486142,False
1982-01-01,168,71,3,medium,,,,-1-2-1-1,0,,-1,0.3,0,-1,-0.020942408376963373,False
1982-02-01,169,71,3,medium,,,,-2-1-1-1,0,,-1,0.2903225806451613,0,-1,-0.14171122994652408,False
1982-03-01,170,71,3,medium,,,,-1-1-1-2,0,,-1,0.3888888888888889,0,1,0.052959501557632294,False
1982-04-01,171,71,3,medium,,,,-1-1-2+1,0,,1,0.6333333333333333,0,-1,-0.023668639053254448,False
1982-05-01,172,71,3,medium,,,,-1-2+1-1,0,,-1,0.2727272727272727,0,-1,-0.045454545454545414,False
1982-06-01,173,71,3,medium,,,,-2+1-1-1,0,,-1,0.2647058823529412,0,1,0.07619047619047614,False
1982-07-01,174,71,3,medium,,,,+1-1-1+2,0,,1,0.6,0,1,0.029498525073746285,False
1982-08-01,175,71,3,medium,,,,-1-1+2+1,0,,1,0.6129032258064516,0,1,0.2521489971346704,False
1982-09-01,176,71,3,medium,,,,-1+2+1+3,0,,1,0.782608695652174,0,-1,-0.03203661327231122,False
1982-10-01,177,71,3,medium,,,,+2+1+3-1,0,,-1,0.2777777777777778,0,1,0.0023640661938533203,False
1982-11-01,178,71,3,medium,,,,+1+3-1+1,0,,1,0.6129032258064516,0,1,0.05660377358490565,False
1982-12-01,179,71,3,medium,,,,+3-1+1+2,0,,1,0.6153846153846154,0,1,0.07366071428571419,False
1983-01-01,180,71,3,medium,,,,-1+1+2+2,0,,1,0.6153846153846154,0,1,0.01455301455301461,False
1983-02-01,181,71,3,medium,,,,+1+2+2+1,0,,1,0.625,0,-1,-0.11680327868852458,False
1983-03-01,182,71,3,medium,,,,+2+2+1-2,0,,-1,0.42105263157894735,0,1,0.004640371229698292,False
1983-04-01,183,71,3,medium,,,,+2+1-2+1,0,,1,0.6363636363636364,0,1,0.011547344110854452,False
1983-05-01,184,71,3,medium,,,,+1-2+1+1,0,,1,0.6363636363636364,0,-1,-0.05936073059360736,False
1983-06-01,185,71,3,medium,,,,-2+1+1-2,0,,-1,0.42105263157894735,0,1,0.024271844660194164,False
1983-07-01,186,71,3,medium,,,,+1+1-2+1,0,,1,0.6176470588235294,0,-1,-0.014218009478673022,False
1983-08-01,187,71,3,medium,,,,+1-2+1-1,0,,-1,0.2972972972972973,0,-1,-0.019230769230769273,False
1983-09-01,188,71,3,medium,,,,-2+1-1-1,0,,-1,0.2972972972972973,0,-1,-0.03431372549019607,False
1983-10-01,189,71,4,medium,,,,+1-1-1-1,0,,-1,0.2972972972972973,0,-1,-0.03807106598984766,False
1983-11-01,190,71,4,medium,,,,-1-1-1-2,-1,0.5714285714285714,-1,0.47619047619047616,0,1,0.005277044854881341,False
