t,date,ret3,lab,scored,typ,n_type_train,status,reason,base_dir,n_screened,n_survivors,max_r2,split_attempted,primary,primary_dir,primary_J,chosen_r2,primary_thresh_z,primary_z_t,tier,leaf_n,leaf_raw,flipA,flipB,predA,predB,is_accA,is_accB,hitA,hitB,model3,secondary
204,1990-01-01,-0.06716417910447758,-1,True,5,5.0,abstain,type-train<floor8,,,,,,,,,,,,,,,,,,,,,,,,
205,1990-02-01,-0.10602409638554222,-1,True,14,18.0,emitted,,1.0,20.0,3.0,0.41355257911935345,True,GS10_Rate:Z12,<,0.8571428571428572,0.30162221712102,0.49169790067215113,0.17453372603424072,tier2,12.0,0.9166666666666666,False,False,1.0,1.0,0.9166666666666666,0.9166666666666666,0.0,0.0,,
206,1990-03-01,-0.10432569974554706,-1,True,1,,pulled,pulled-type,1.0,,,,,,,,,,,,,,,,1.0,1.0,0.5416666666666666,0.5416666666666666,0.0,0.0,,
207,1990-04-01,-0.03466666666666662,-1,True,13,17.0,abstain,gate-fail-r2,-1.0,16.0,0.0,0.14352669050982372,True,,,,,,,,,,,,,,,,,,,
208,1990-05-01,0.04851752021563338,1,True,13,17.0,abstain,gate-fail-r2,-1.0,16.0,0.0,0.14352669050982372,True,,,,,,,,,,,,,,,,,,,
209,1990-06-01,0.10227272727272729,1,True,13,16.0,abstain,gate-fail-r2,-1.0,16.0,0.0,0.1610574115502054,True,,,,,,,,,,,,,,,,,,,
210,1990-07-01,0.05248618784530379,1,True,12,18.0,abstain,gate-fail-r2,1.0,30.0,0.0,0.1772444034156474,True,,,,,,,,,,,,,,,,,,,
211,1990-08-01,-0.015424164524421635,-1,True,9,17.0,emitted,,1.0,20.0,2.0,0.22808822672548495,True,US_CPI:Z3,>,0.5,0.22808822672548495,0.3900331942801782,-2.735103391569417,tier4,11.0,0.5454545454545454,False,False,1.0,1.0,0.5454545454545454,0.5454545454545454,0.0,0.0,,
212,1990-09-01,-0.020618556701030966,-1,True,0,,pulled,pulled-type,-1.0,,,,,,,,,,,,,,,,-1.0,-1.0,0.6363636363636364,0.6363636363636364,1.0,1.0,,
213,1990-10-01,0.005249343832020914,1,True,0,,pulled,pulled-type,-1.0,,,,,,,,,,,,,,,,-1.0,-1.0,0.6363636363636364,0.6363636363636364,0.0,0.0,,
