asset,type,signs,n,WF_pct,LB,UB,zone,pulled
Gold,1,DN/DN/DN,13,84.6,57.8,95.7,PREDICTIVE,True
Gold,2,DN/DN/flat,56,69.6,56.7,80.1,PREDICTIVE,True
Gold,3,DN/DN/UP,20,50.0,29.9,70.1,COIN-TOSS,False
Gold,4,DN/flat/DN,0,,,,empty,False
Gold,5,DN/flat/flat,4,75.0,30.1,95.4,COIN-TOSS,False
Gold,6,DN/flat/UP,20,40.0,21.9,61.3,COIN-TOSS,False
Gold,7,DN/UP/DN,0,,,,empty,False
Gold,8,DN/UP/flat,0,,,,empty,False
Gold,9,DN/UP/UP,4,50.0,15.0,85.0,COIN-TOSS,False
Gold,10,flat/DN/DN,13,15.4,4.3,42.2,ANTI,False
Gold,11,flat/DN/flat,2,0.0,0.0,65.8,COIN-TOSS,False
Gold,12,flat/DN/UP,0,,,,empty,False
Gold,13,flat/flat/DN,22,54.5,34.7,73.1,COIN-TOSS,False
Gold,14,flat/flat/flat,64,39.1,28.1,51.3,COIN-TOSS,False
Gold,15,flat/flat/UP,31,38.7,23.7,56.2,COIN-TOSS,False
Gold,16,flat/UP/DN,0,,,,empty,False
Gold,17,flat/UP/flat,7,0.0,0.0,35.4,ANTI,False
Gold,18,flat/UP/UP,21,33.3,17.2,54.6,COIN-TOSS,False
Gold,19,UP/DN/DN,0,,,,empty,False
Gold,20,UP/DN/flat,0,,,,empty,False
Gold,21,UP/DN/UP,0,,,,empty,False
Gold,22,UP/flat/DN,19,57.9,36.3,76.9,COIN-TOSS,False
Gold,23,UP/flat/flat,7,71.4,35.9,91.8,COIN-TOSS,False
Gold,24,UP/flat/UP,0,,,,empty,False
Gold,25,UP/UP/DN,16,68.8,44.4,85.8,COIN-TOSS,True
Gold,26,UP/UP/flat,71,46.5,35.4,58.0,COIN-TOSS,False
Gold,27,UP/UP/UP,45,51.1,37.0,65.0,COIN-TOSS,False
