asset,type,sign,tier,variant,n,IS_pct,OOS_pct,LB,UB,R2_chosen,O_val,Cov,zone
NatGas,3,DN/DN/UP,tier2,B,6,90.6,66.7,30.0,90.3,0.2584,-0.493,0.286,coin-toss
NatGas,3,DN/DN/UP,tier2,A,6,90.6,66.7,30.0,90.3,0.2584,-0.493,0.286,coin-toss
NatGas,3,DN/DN/UP,tier4,B,12,46.8,41.7,19.3,68.0,0.2674,-0.139,0.571,coin-toss
NatGas,3,DN/DN/UP,tier4,A,12,74.6,50.0,25.4,74.6,0.2674,0.493,0.571,coin-toss
NatGas,6,DN/flat/UP,tier2,B,10,85.4,70.0,39.7,89.2,0.3548,2.638,0.357,coin-toss
NatGas,6,DN/flat/UP,tier2,A,10,85.4,70.0,39.7,89.2,0.3548,2.638,0.357,coin-toss
NatGas,6,DN/flat/UP,tier3,B,4,91.6,50.0,15.0,85.0,0.2305,-1.885,0.143,coin-toss
NatGas,6,DN/flat/UP,tier3,A,4,91.6,50.0,15.0,85.0,0.2305,-1.885,0.143,coin-toss
NatGas,6,DN/flat/UP,tier4,B,1,87.5,100.0,20.7,100.0,0.4278,14.619,0.036,coin-toss
NatGas,6,DN/flat/UP,tier4,A,1,87.5,100.0,20.7,100.0,0.4278,14.619,0.036,coin-toss
NatGas,11,flat/DN/flat,tier2,B,2,88.2,0.0,0.0,65.8,0.2895,-0.154,0.105,coin-toss
NatGas,11,flat/DN/flat,tier2,A,2,88.2,0.0,0.0,65.8,0.2895,-0.154,0.105,coin-toss
NatGas,13,flat/flat/DN,tier2,B,3,88.3,66.7,20.8,93.9,0.2842,9.948,0.167,coin-toss
NatGas,13,flat/flat/DN,tier2,A,3,88.3,66.7,20.8,93.9,0.2842,9.948,0.167,coin-toss
NatGas,13,flat/flat/DN,tier4,B,2,36.7,100.0,34.2,100.0,0.3477,25.903,0.111,coin-toss
NatGas,13,flat/flat/DN,tier4,A,2,63.3,0.0,0.0,65.8,0.3477,-1.662,0.111,coin-toss
NatGas,14,flat/flat/flat,tier2,B,5,92.0,80.0,37.6,96.4,0.4936,21.201,0.077,coin-toss
NatGas,14,flat/flat/flat,tier2,A,5,92.0,80.0,37.6,96.4,0.4936,21.201,0.077,coin-toss
NatGas,14,flat/flat/flat,tier4,B,4,33.8,50.0,15.0,85.0,0.2359,-1.419,0.062,coin-toss
NatGas,14,flat/flat/flat,tier4,A,4,66.2,50.0,15.0,85.0,0.2359,1.419,0.062,coin-toss
NatGas,15,flat/flat/UP,tier2,B,2,88.2,50.0,9.5,90.5,0.2182,4.407,0.182,coin-toss
NatGas,15,flat/flat/UP,tier2,A,2,88.2,50.0,9.5,90.5,0.2182,4.407,0.182,coin-toss
NatGas,22,UP/flat/DN,tier2,B,9,95.0,55.6,26.7,81.1,0.3041,4.129,0.191,coin-toss
NatGas,22,UP/flat/DN,tier2,A,9,95.0,55.6,26.7,81.1,0.3041,4.129,0.191,coin-toss
NatGas,22,UP/flat/DN,tier3,B,2,88.9,100.0,34.2,100.0,0.215,4.646,0.043,coin-toss
NatGas,22,UP/flat/DN,tier3,A,2,88.9,100.0,34.2,100.0,0.215,4.646,0.043,coin-toss
NatGas,22,UP/flat/DN,tier4,B,2,26.7,50.0,9.5,90.5,0.2522,-5.801,0.043,coin-toss
NatGas,22,UP/flat/DN,tier4,A,2,73.3,50.0,9.5,90.5,0.2522,5.801,0.043,coin-toss
NatGas,25,UP/UP/DN,tier2,B,2,93.8,50.0,9.5,90.5,0.3069,-1.692,0.091,coin-toss
NatGas,25,UP/UP/DN,tier2,A,2,93.8,50.0,9.5,90.5,0.3069,-1.692,0.091,coin-toss
NatGas,25,UP/UP/DN,tier3,B,1,83.3,0.0,0.0,79.3,0.2171,-0.602,0.045,coin-toss
NatGas,25,UP/UP/DN,tier3,A,1,83.3,0.0,0.0,79.3,0.2171,-0.602,0.045,coin-toss
NatGas,25,UP/UP/DN,tier4,B,2,20.0,50.0,9.5,90.5,0.355,-0.155,0.091,coin-toss
NatGas,25,UP/UP/DN,tier4,A,2,80.0,50.0,9.5,90.5,0.355,0.155,0.091,coin-toss
NatGas,26,UP/UP/flat,tier2,B,1,100.0,0.0,0.0,79.3,0.5248,-0.274,0.091,coin-toss
NatGas,26,UP/UP/flat,tier2,A,1,100.0,0.0,0.0,79.3,0.5248,-0.274,0.091,coin-toss
