asset,type,signs,n,WF_pct,LB,UB,zone,pulled
NatGas,1,DN/DN/DN,1,0.0,0.0,79.3,COIN-TOSS,False
NatGas,2,DN/DN/flat,13,53.8,29.1,76.8,COIN-TOSS,False
NatGas,3,DN/DN/UP,21,52.4,32.4,71.7,COIN-TOSS,False
NatGas,4,DN/flat/DN,0,,,,empty,False
NatGas,5,DN/flat/flat,2,50.0,9.5,90.5,COIN-TOSS,False
NatGas,6,DN/flat/UP,28,53.6,35.8,70.5,COIN-TOSS,False
NatGas,7,DN/UP/DN,0,,,,empty,False
NatGas,8,DN/UP/flat,0,,,,empty,False
NatGas,9,DN/UP/UP,2,0.0,0.0,65.8,COIN-TOSS,False
NatGas,10,flat/DN/DN,10,70.0,39.7,89.2,COIN-TOSS,True
NatGas,11,flat/DN/flat,19,31.6,15.4,54.0,COIN-TOSS,False
NatGas,12,flat/DN/UP,0,,,,empty,False
NatGas,13,flat/flat/DN,18,50.0,29.0,71.0,COIN-TOSS,False
NatGas,14,flat/flat/flat,64,53.1,41.1,64.8,COIN-TOSS,False
NatGas,15,flat/flat/UP,11,54.5,28.0,78.7,COIN-TOSS,False
NatGas,16,flat/UP/DN,0,,,,empty,False
NatGas,17,flat/UP/flat,7,42.9,15.8,75.0,COIN-TOSS,False
NatGas,18,flat/UP/UP,6,33.3,9.7,70.0,COIN-TOSS,False
NatGas,19,UP/DN/DN,4,50.0,15.0,85.0,COIN-TOSS,False
NatGas,20,UP/DN/flat,0,,,,empty,False
NatGas,21,UP/DN/UP,0,,,,empty,False
NatGas,22,UP/flat/DN,46,58.7,44.3,71.7,COIN-TOSS,False
NatGas,23,UP/flat/flat,2,50.0,9.5,90.5,COIN-TOSS,False
NatGas,24,UP/flat/UP,0,,,,empty,False
NatGas,25,UP/UP/DN,21,42.9,24.5,63.5,COIN-TOSS,False
NatGas,26,UP/UP/flat,11,18.2,5.1,47.7,ANTI,False
NatGas,27,UP/UP/UP,1,100.0,20.7,100.0,COIN-TOSS,False
