asset,type,sign,tier,variant,n,IS_pct,OOS_pct,LB,UB,R2_chosen,O_val,Cov,zone
Silver,5,DN/flat/flat,tier4,B,4,28.8,0.0,0.0,49.0,0.4077,-0.369,0.4,ANTI
Silver,5,DN/flat/flat,tier4,A,4,71.2,100.0,51.0,100.0,0.4077,20.619,0.4,PREDICTIVE
Silver,6,DN/flat/UP,tier1,B,1,100.0,100.0,20.7,100.0,0.2026,2.318,0.021,coin-toss
Silver,6,DN/flat/UP,tier1,A,1,100.0,100.0,20.7,100.0,0.2026,2.318,0.021,coin-toss
Silver,6,DN/flat/UP,tier2,B,4,87.1,25.0,4.6,69.9,0.2675,-0.714,0.083,coin-toss
Silver,6,DN/flat/UP,tier2,A,4,87.1,25.0,4.6,69.9,0.2675,-0.714,0.083,coin-toss
Silver,6,DN/flat/UP,tier4,B,1,36.4,0.0,0.0,79.3,0.2354,-1.421,0.021,coin-toss
Silver,6,DN/flat/UP,tier4,A,1,63.6,100.0,20.7,100.0,0.2354,8.039,0.021,coin-toss
Silver,11,flat/DN/flat,tier4,B,2,33.3,50.0,9.5,90.5,0.2533,-1.083,0.4,coin-toss
Silver,11,flat/DN/flat,tier4,A,2,66.7,50.0,9.5,90.5,0.2533,1.083,0.4,coin-toss
Silver,14,flat/flat/flat,tier2,B,1,76.9,100.0,20.7,100.0,0.2441,1.753,0.024,coin-toss
Silver,14,flat/flat/flat,tier2,A,1,76.9,100.0,20.7,100.0,0.2441,1.753,0.024,coin-toss
Silver,14,flat/flat/flat,tier3,B,1,100.0,100.0,20.7,100.0,0.2107,7.126,0.024,coin-toss
Silver,14,flat/flat/flat,tier3,A,1,100.0,100.0,20.7,100.0,0.2107,7.126,0.024,coin-toss
Silver,14,flat/flat/flat,tier4,B,2,28.6,50.0,9.5,90.5,0.2506,-1.263,0.049,coin-toss
Silver,14,flat/flat/flat,tier4,A,2,71.4,50.0,9.5,90.5,0.2506,1.263,0.049,coin-toss
Silver,22,UP/flat/DN,tier2,B,3,91.7,66.7,20.8,93.9,0.2459,5.517,0.125,coin-toss
Silver,22,UP/flat/DN,tier2,A,3,91.7,66.7,20.8,93.9,0.2459,5.517,0.125,coin-toss
Silver,22,UP/flat/DN,tier4,B,7,24.8,42.9,15.8,75.0,0.2694,-1.707,0.292,coin-toss
Silver,22,UP/flat/DN,tier4,A,7,75.2,57.1,25.0,84.2,0.2694,2.982,0.292,coin-toss
Silver,25,UP/UP/DN,tier2,B,4,95.0,75.0,30.1,95.4,0.3177,5.542,0.19,coin-toss
Silver,25,UP/UP/DN,tier2,A,4,95.0,75.0,30.1,95.4,0.3177,5.542,0.19,coin-toss
Silver,25,UP/UP/DN,tier4,B,2,35.4,100.0,34.2,100.0,0.3417,19.73,0.095,coin-toss
Silver,25,UP/UP/DN,tier4,A,2,64.6,0.0,0.0,65.8,0.3417,-1.266,0.095,coin-toss
