asset,type,signs,n,WF_pct,LB,UB,zone,pulled
Silver,1,DN/DN/DN,0,,,,empty,False
Silver,2,DN/DN/flat,7,71.4,35.9,91.8,COIN-TOSS,False
Silver,3,DN/DN/UP,9,66.7,35.4,87.9,COIN-TOSS,False
Silver,4,DN/flat/DN,0,,,,empty,False
Silver,5,DN/flat/flat,9,11.1,2.0,43.5,ANTI,False
Silver,6,DN/flat/UP,48,58.3,44.3,71.2,COIN-TOSS,False
Silver,7,DN/UP/DN,0,,,,empty,False
Silver,8,DN/UP/flat,1,0.0,0.0,79.3,COIN-TOSS,False
Silver,9,DN/UP/UP,22,68.2,47.3,83.6,COIN-TOSS,True
Silver,10,flat/DN/DN,5,20.0,3.6,62.4,COIN-TOSS,False
Silver,11,flat/DN/flat,5,20.0,3.6,62.4,COIN-TOSS,False
Silver,12,flat/DN/UP,0,,,,empty,False
Silver,13,flat/flat/DN,4,50.0,15.0,85.0,COIN-TOSS,False
Silver,14,flat/flat/flat,39,51.3,36.2,66.1,COIN-TOSS,False
Silver,15,flat/flat/UP,0,,,,empty,False
Silver,16,flat/UP/DN,1,0.0,0.0,79.3,COIN-TOSS,False
Silver,17,flat/UP/flat,14,71.4,45.4,88.3,COIN-TOSS,True
Silver,18,flat/UP/UP,3,66.7,20.8,93.9,COIN-TOSS,False
Silver,19,UP/DN/DN,25,72.0,52.4,85.7,PREDICTIVE,True
Silver,20,UP/DN/flat,0,,,,empty,False
Silver,21,UP/DN/UP,0,,,,empty,False
Silver,22,UP/flat/DN,24,45.8,27.9,64.9,COIN-TOSS,False
Silver,23,UP/flat/flat,0,,,,empty,False
Silver,24,UP/flat/UP,0,,,,empty,False
Silver,25,UP/UP/DN,21,66.7,45.4,82.8,COIN-TOSS,False
Silver,26,UP/UP/flat,2,50.0,9.5,90.5,COIN-TOSS,False
Silver,27,UP/UP/UP,0,,,,empty,False
