asset,type,sign,tier,variant,n,IS_pct,OOS_pct,LB,UB,R2_chosen,O_val,Cov,zone
USD,1,DN/DN/DN,tier2,B,4,93.4,25.0,4.6,69.9,0.2434,-0.165,0.085,coin-toss
USD,1,DN/DN/DN,tier2,A,4,93.4,25.0,4.6,69.9,0.2434,-0.165,0.085,coin-toss
USD,1,DN/DN/DN,tier4,B,13,46.0,61.5,35.5,82.3,0.3383,0.467,0.277,coin-toss
USD,1,DN/DN/DN,tier4,A,13,73.1,23.1,8.2,50.3,0.3383,-0.088,0.277,coin-toss
USD,2,DN/DN/flat,tier2,B,3,75.0,100.0,43.8,100.0,0.2199,6.41,0.136,coin-toss
USD,2,DN/DN/flat,tier2,A,3,75.0,100.0,43.8,100.0,0.2199,6.41,0.136,coin-toss
USD,13,flat/flat/DN,tier2,B,13,88.7,61.5,35.5,82.3,0.2661,0.543,0.072,coin-toss
USD,13,flat/flat/DN,tier2,A,13,88.7,61.5,35.5,82.3,0.2661,0.543,0.072,coin-toss
USD,13,flat/flat/DN,tier3,B,2,92.3,50.0,9.5,90.5,0.2385,-0.037,0.011,coin-toss
USD,13,flat/flat/DN,tier3,A,2,92.3,50.0,9.5,90.5,0.2385,-0.037,0.011,coin-toss
USD,13,flat/flat/DN,tier4,B,12,36.6,33.3,13.8,60.9,0.2823,-0.038,0.067,coin-toss
USD,13,flat/flat/DN,tier4,A,12,70.1,66.7,39.1,86.2,0.2823,0.39,0.067,coin-toss
USD,14,flat/flat/flat,tier1,B,2,93.8,0.0,0.0,65.8,0.2006,-0.261,0.033,coin-toss
USD,14,flat/flat/flat,tier1,A,2,93.8,0.0,0.0,65.8,0.2006,-0.261,0.033,coin-toss
USD,14,flat/flat/flat,tier2,B,11,89.8,36.4,15.2,64.6,0.314,-0.357,0.18,coin-toss
USD,14,flat/flat/flat,tier2,A,11,89.8,36.4,15.2,64.6,0.314,-0.357,0.18,coin-toss
USD,14,flat/flat/flat,tier4,B,9,71.0,55.6,26.7,81.1,0.4126,0.145,0.148,coin-toss
USD,14,flat/flat/flat,tier4,A,9,77.7,44.4,18.9,73.3,0.4126,0.334,0.148,coin-toss
USD,15,flat/flat/UP,tier2,B,3,84.2,0.0,0.0,56.2,0.2332,-0.055,0.273,coin-toss
USD,15,flat/flat/UP,tier2,A,3,84.2,0.0,0.0,56.2,0.2332,-0.055,0.273,coin-toss
USD,25,UP/UP/DN,tier1,B,1,100.0,100.0,20.7,100.0,0.2102,0.648,0.027,coin-toss
USD,25,UP/UP/DN,tier1,A,1,100.0,100.0,20.7,100.0,0.2102,0.648,0.027,coin-toss
USD,25,UP/UP/DN,tier2,B,7,81.9,28.6,8.2,64.1,0.2958,-0.058,0.189,coin-toss
USD,25,UP/UP/DN,tier2,A,7,83.2,14.3,2.6,51.3,0.2958,-0.041,0.189,coin-toss
USD,25,UP/UP/DN,tier4,B,9,33.6,55.6,26.7,81.1,0.3107,-0.771,0.243,coin-toss
USD,25,UP/UP/DN,tier4,A,9,66.4,44.4,18.9,73.3,0.3107,0.489,0.243,coin-toss
USD,26,UP/UP/flat,tier1,B,1,92.9,0.0,0.0,79.3,0.2886,-0.454,0.023,coin-toss
USD,26,UP/UP/flat,tier1,A,1,92.9,0.0,0.0,79.3,0.2886,-0.454,0.023,coin-toss
USD,26,UP/UP/flat,tier2,B,20,84.4,60.0,38.7,78.1,0.2718,0.263,0.455,coin-toss
USD,26,UP/UP/flat,tier2,A,20,84.4,60.0,38.7,78.1,0.2718,0.263,0.455,coin-toss
USD,26,UP/UP/flat,tier3,B,9,83.7,77.8,45.3,93.7,0.2462,0.168,0.205,coin-toss
USD,26,UP/UP/flat,tier3,A,9,83.7,77.8,45.3,93.7,0.2462,0.168,0.205,coin-toss
USD,26,UP/UP/flat,tier4,B,6,32.9,83.3,43.6,97.0,0.3514,1.203,0.136,coin-toss
USD,26,UP/UP/flat,tier4,A,6,72.7,33.3,9.7,70.0,0.3514,-0.207,0.136,coin-toss
