t,date,ret3,lab,scored,typ,n_type_train,base_dir,n_screened,n_survivors,max_r2,split_attempted,primary,primary_dir,primary_J,chosen_r2,primary_thresh_z,primary_z_t,status,tier,leaf_n,leaf_raw,flipA,flipB,predA,predB,is_accA,is_accB,hitA,hitB,model3,reason,secondary
204,1990-01-01,0.01987110749136667,1,True,12,39,-1.0,40.0,2.0,0.259256218662072,True,GS10_Rate:Z6_vel,<,0.6275862068965519,0.259256218662072,0.4915896393680461,1.0294473863390141,emitted,tier4,13.0,0.38461538461538464,True,False,1.0,-1.0,0.6153846153846154,0.38461538461538464,1.0,0.0,,,
205,1990-02-01,0.02123234972203858,1,True,12,40,-1.0,40.0,2.0,0.25321403318500635,True,GS10_Rate:Z6_vel,<,0.6333333333333333,0.25321403318500635,0.233074736760542,0.21432159702118705,emitted,tier2,23.0,0.9565217391304348,False,False,-1.0,-1.0,0.9565217391304348,0.9565217391304348,0.0,0.0,M2_Money:Z3,,
206,1990-03-01,-0.008097373205308012,-1,True,12,41,-1.0,40.0,1.0,0.23421962973632274,True,GS10_Rate:Z6_vel,<,0.6096774193548389,0.23421962973632274,0.28260772286804375,-0.03974853598298725,emitted,tier2,23.0,0.9565217391304348,False,False,-1.0,-1.0,0.9565217391304348,0.9565217391304348,1.0,1.0,M2_Money:Z3,,
207,1990-04-01,-0.03565769623005677,-1,True,13,20,-1.0,22.0,2.0,0.3933143249604709,True,M2_Money:Z6_vel,<,0.7857142857142856,0.3933143249604709,-0.14176251016311467,-0.658993639932639,emitted,tier2,11.0,1.0,False,False,-1.0,-1.0,1.0,1.0,1.0,1.0,,,
208,1990-05-01,-0.055442426274667556,-1,True,13,20,-1.0,22.0,2.0,0.3933143249604709,True,M2_Money:Z6_vel,<,0.7857142857142856,0.3933143249604709,-0.14176251016311467,-0.3551642287766192,emitted,tier2,11.0,1.0,False,False,-1.0,-1.0,1.0,1.0,1.0,1.0,,,
209,1990-06-01,-0.05131465931946666,-1,True,1,22,1.0,20.0,0.0,0.10276415948377128,True,,,,,,,abstain,,,,,,,,,,,,,gate-fail-r2,
210,1990-07-01,-0.05752141813041178,-1,True,1,22,1.0,20.0,0.0,0.10276415948377128,True,,,,,,,abstain,,,,,,,,,,,,,gate-fail-r2,
211,1990-08-01,-0.05141916675560443,-1,True,1,22,1.0,20.0,0.0,0.10276415948377128,True,,,,,,,abstain,,,,,,,,,,,,,gate-fail-r2,
212,1990-09-01,-0.031147663585290086,-1,True,12,43,-1.0,40.0,3.0,0.24262120679886348,True,WTI_Crude_Close:Z6_vel,<,0.625,0.20908942784536214,0.372873564152111,2.076891581366005,emitted,tier4,8.0,0.25,True,False,1.0,-1.0,0.75,0.25,0.0,1.0,,,
213,1990-10-01,-0.01612854615889303,-1,True,13,21,-1.0,22.0,2.0,0.4455996491183506,True,M2_Money:Z6_vel,<,0.8125,0.4455996491183506,-0.07432242169247613,0.9648705903693608,emitted,tier4,8.0,0.375,True,False,1.0,-1.0,0.625,0.375,0.0,1.0,,,
214,1990-11-01,-0.008142213379285002,-1,True,13,21,-1.0,22.0,2.0,0.4455996491183506,True,M2_Money:Z6_vel,<,0.8125,0.4455996491183506,-0.07432242169247613,0.5980535505147697,emitted,tier4,8.0,0.375,True,False,1.0,-1.0,0.625,0.375,0.0,1.0,,,
215,1990-12-01,0.0038022591337256717,1,True,13,21,-1.0,22.0,2.0,0.4455996491183506,True,M2_Money:Z6_vel,<,0.8125,0.4455996491183506,-0.07432242169247613,-0.2531458808578823,emitted,tier2,13.0,1.0,False,False,-1.0,-1.0,1.0,1.0,0.0,0.0,,,
216,1991-01-01,0.06338155941468937,1,True,13,22,-1.0,22.0,2.0,0.39112645004109103,True,M2_Money:Z6_vel,<,0.7647058823529411,0.39112645004109103,0.01064257350405528,0.7531891821992766,emitted,tier4,9.0,0.4444444444444444,True,False,1.0,-1.0,0.5555555555555556,0.4444444444444444,1.0,0.0,,,
217,1991-02-01,0.0759435933563386,1,True,1,25,1.0,31.0,1.0,0.2198710206441793,True,US_2Y_Treasury:Z6,<,0.5238095238095237,0.2198710206441793,0.19640656256281985,-0.3683225596103434,emitted,tier2,8.0,0.75,False,False,1.0,1.0,0.75,0.75,1.0,1.0,,,
218,1991-03-01,0.06296277740428713,1,True,1,25,1.0,31.0,1.0,0.2198710206441793,True,US_2Y_Treasury:Z6,<,0.5238095238095237,0.2198710206441793,0.19640656256281985,-0.16681542779947436,emitted,tier2,8.0,0.75,False,False,1.0,1.0,0.75,0.75,1.0,1.0,,,
219,1991-04-01,0.029071203897285347,1,True,1,25,1.0,31.0,1.0,0.2198710206441793,True,US_2Y_Treasury:Z6,<,0.5238095238095237,0.2198710206441793,0.19640656256281985,-0.11883753927307628,emitted,tier2,8.0,0.75,False,False,1.0,1.0,0.75,0.75,1.0,1.0,,,
220,1991-05-01,0.015444593892743441,1,True,0,32,1.0,35.0,2.0,0.2676702684411621,True,Term_Spread_10Y_3M:Z6,<,0.6527777777777777,0.2676702684411621,-0.07504635959036782,1.4681006772782974,emitted,tier4,11.0,0.36363636363636365,True,False,-1.0,1.0,0.6363636363636364,0.36363636363636365,0.0,1.0,,,
221,1991-06-01,-0.007107248867706861,-1,True,12,44,-1.0,40.0,2.0,0.23443599991381922,True,GS10_Rate:Z6_vel,<,0.5729166666666665,0.23443599991381922,0.06403447612431454,0.7999942545864551,emitted,tier4,8.0,0.25,True,False,1.0,-1.0,0.75,0.25,0.0,1.0,WTI_Crude_Close:Z6_vel,,
222,1991-07-01,-0.050073426814353006,-1,True,12,43,-1.0,40.0,2.0,0.23522914875080855,True,GS10_Rate:Z6_vel,<,0.5618279569892473,0.23522914875080855,0.10805530901312868,-0.20661865265531154,emitted,tier2,21.0,0.9523809523809523,False,False,-1.0,-1.0,0.9523809523809523,0.9523809523809523,1.0,1.0,WTI_Crude_Close:Z6_vel,,
223,1991-08-01,-0.044215958531555466,-1,True,12,43,-1.0,40.0,2.0,0.23522914875080855,True,GS10_Rate:Z6_vel,<,0.5618279569892473,0.23522914875080855,0.10805530901312868,-0.40937928067598,emitted,tier2,21.0,0.9523809523809523,False,False,-1.0,-1.0,0.9523809523809523,0.9523809523809523,1.0,1.0,WTI_Crude_Close:Z6_vel,,
224,1991-09-01,-0.043194925283498775,-1,True,12,44,-1.0,40.0,1.0,0.21947353826146837,True,GS10_Rate:Z6_vel,<,0.5416666666666665,0.21947353826146837,0.06285462461211254,-1.1328088295306276,emitted,tier2,21.0,0.9523809523809523,False,False,-1.0,-1.0,0.9523809523809523,0.9523809523809523,1.0,1.0,WTI_Crude_Close:Z6_vel,,
225,1991-10-01,-0.04638521512353411,-1,True,12,45,-1.0,40.0,1.0,0.22006908006279077,True,GS10_Rate:Z6_vel,<,0.553030303030303,0.22006908006279077,0.09444308314299171,-0.27948430320234124,emitted,tier2,22.0,0.9545454545454546,False,False,-1.0,-1.0,0.9545454545454546,0.9545454545454546,1.0,1.0,WTI_Crude_Close:Z6_vel,,
226,1991-11-01,-0.012474972871793777,-1,True,12,46,-1.0,40.0,1.0,0.22272012892246038,True,GS10_Rate:Z6_vel,<,0.5637254901960784,0.22272012892246038,0.056632546878799386,-0.44255409294060677,emitted,tier2,23.0,0.9565217391304348,False,False,-1.0,-1.0,0.9565217391304348,0.9565217391304348,1.0,1.0,WTI_Crude_Close:Z6_vel,,
227,1991-12-01,0.018978951121326082,1,True,12,47,-1.0,40.0,2.0,0.22845026712748456,True,GS10_Rate:Z6_vel,<,0.5738095238095238,0.22845026712748456,0.11228629928645568,-1.1702352445167823,emitted,tier2,24.0,0.9583333333333334,False,False,-1.0,-1.0,0.9583333333333334,0.9583333333333334,0.0,0.0,WTI_Crude_Close:Z6_vel,,
228,1992-01-01,0.0661353180069435,1,True,12,47,-1.0,40.0,2.0,0.23107968072968543,True,GS10_Rate:Z6_vel,<,0.5738095238095238,0.23107968072968543,0.11741952087758592,-0.2422255103452254,emitted,tier2,24.0,0.9583333333333334,False,False,-1.0,-1.0,0.9583333333333334,0.9583333333333334,0.0,0.0,WTI_Crude_Close:Z6_vel,,
229,1992-02-01,0.028335847881237886,1,True,12,46,-1.0,40.0,2.0,0.23026879124500652,True,GS10_Rate:Z6_vel,<,0.5637254901960784,0.23026879124500652,0.0790492963313572,1.1154950113761601,abstain,tier3,3.0,,,,,,,,,,WTI_Crude_Close:Z6_vel,leaf<floor8,
230,1992-03-01,-0.011545089939828723,-1,True,12,47,-1.0,40.0,0.0,0.17615332454420005,True,,,,,,,abstain,,,,,,,,,,,,,gate-fail-r2,
231,1992-04-01,-0.05602178755130849,-1,True,9,1,,,,,,,,,,,,abstain,,,,,,,,,,,,,type-train<floor8,
232,1992-05-01,-0.053916562419421776,-1,True,9,1,,,,,,,,,,,,abstain,,,,,,,,,,,,,type-train<floor8,
233,1992-06-01,-0.06447677415659547,-1,True,9,1,,,,,,,,,,,,abstain,,,,,,,,,,,,,type-train<floor8,
234,1992-07-01,-0.004644692261089989,-1,True,12,50,-1.0,40.0,0.0,0.16709649077947594,True,,,,,,,abstain,,,,,,,,,,,,,gate-fail-r2,
235,1992-08-01,0.05833528716576075,1,True,12,50,-1.0,40.0,0.0,0.16709649077947594,True,,,,,,,abstain,,,,,,,,,,,,,gate-fail-r2,
