asset,type,signs,n,WF_pct,LB,UB,zone,pulled
USD,1,DN/DN/DN,47,61.7,47.4,74.2,COIN-TOSS,False
USD,2,DN/DN/flat,21,42.9,24.5,63.5,COIN-TOSS,False
USD,3,DN/DN/UP,6,33.3,9.7,70.0,COIN-TOSS,False
USD,4,DN/flat/DN,0,,,,empty,False
USD,5,DN/flat/flat,0,,,,empty,False
USD,6,DN/flat/UP,2,100.0,34.2,100.0,COIN-TOSS,False
USD,7,DN/UP/DN,0,,,,empty,False
USD,8,DN/UP/flat,0,,,,empty,False
USD,9,DN/UP/UP,0,,,,empty,False
USD,10,flat/DN/DN,10,50.0,23.7,76.3,COIN-TOSS,False
USD,11,flat/DN/flat,1,100.0,20.7,100.0,COIN-TOSS,False
USD,12,flat/DN/UP,0,,,,empty,False
USD,13,flat/flat/DN,180,46.7,39.5,53.9,COIN-TOSS,False
USD,14,flat/flat/flat,60,51.7,39.3,63.8,COIN-TOSS,False
USD,15,flat/flat/UP,11,9.1,1.6,37.7,ANTI,False
USD,16,flat/UP/DN,0,,,,empty,False
USD,17,flat/UP/flat,0,,,,empty,False
USD,18,flat/UP/UP,0,,,,empty,False
USD,19,UP/DN/DN,0,,,,empty,False
USD,20,UP/DN/flat,0,,,,empty,False
USD,21,UP/DN/UP,0,,,,empty,False
USD,22,UP/flat/DN,14,42.9,21.4,67.4,COIN-TOSS,False
USD,23,UP/flat/flat,3,66.7,20.8,93.9,COIN-TOSS,False
USD,24,UP/flat/UP,0,,,,empty,False
USD,25,UP/UP/DN,37,32.4,19.6,48.5,ANTI,False
USD,26,UP/UP/flat,44,52.3,37.9,66.2,COIN-TOSS,False
USD,27,UP/UP/UP,0,,,,empty,False
