asset,type,sign,tier,variant,n,IS_pct,OOS_pct,LB,UB,R2_chosen,O_val,Cov,zone
WTI,2,DN/DN/flat,tier2,B,17,90.3,58.8,36.0,78.4,0.2865,2.006,0.298,coin-toss
WTI,2,DN/DN/flat,tier2,A,17,90.3,58.8,36.0,78.4,0.2865,2.006,0.298,coin-toss
WTI,2,DN/DN/flat,tier3,B,2,84.6,50.0,9.5,90.5,0.2195,9.96,0.035,coin-toss
WTI,2,DN/DN/flat,tier3,A,2,84.6,50.0,9.5,90.5,0.2195,9.96,0.035,coin-toss
WTI,2,DN/DN/flat,tier4,B,15,63.5,46.7,24.8,69.9,0.2804,0.199,0.263,coin-toss
WTI,2,DN/DN/flat,tier4,A,15,80.6,66.7,41.7,84.8,0.2804,4.309,0.263,coin-toss
WTI,6,DN/flat/UP,tier2,B,1,87.5,100.0,20.7,100.0,0.3587,3.906,0.042,coin-toss
WTI,6,DN/flat/UP,tier2,A,1,87.5,100.0,20.7,100.0,0.3587,3.906,0.042,coin-toss
WTI,10,flat/DN/DN,tier2,B,5,88.2,40.0,11.8,76.9,0.3193,-1.046,0.333,coin-toss
WTI,10,flat/DN/DN,tier2,A,5,88.2,40.0,11.8,76.9,0.3193,-1.046,0.333,coin-toss
WTI,10,flat/DN/DN,tier4,B,1,50.0,0.0,0.0,79.3,0.2118,-0.13,0.067,coin-toss
WTI,10,flat/DN/DN,tier4,A,1,50.0,0.0,0.0,79.3,0.2118,-0.13,0.067,coin-toss
WTI,11,flat/DN/flat,tier2,B,2,87.3,50.0,9.5,90.5,0.2932,2.278,0.2,coin-toss
WTI,11,flat/DN/flat,tier2,A,2,87.3,50.0,9.5,90.5,0.2932,2.278,0.2,coin-toss
WTI,11,flat/DN/flat,tier4,B,4,32.3,25.0,4.6,69.9,0.2453,-0.756,0.4,coin-toss
WTI,11,flat/DN/flat,tier4,A,4,67.7,75.0,30.1,95.4,0.2453,4.274,0.4,coin-toss
WTI,13,flat/flat/DN,tier2,B,3,81.5,66.7,20.8,93.9,0.2523,0.976,0.6,coin-toss
WTI,13,flat/flat/DN,tier2,A,3,81.5,66.7,20.8,93.9,0.2523,0.976,0.6,coin-toss
WTI,14,flat/flat/flat,tier1,B,1,100.0,100.0,20.7,100.0,0.3375,15.269,0.013,coin-toss
WTI,14,flat/flat/flat,tier1,A,1,100.0,100.0,20.7,100.0,0.3375,15.269,0.013,coin-toss
WTI,14,flat/flat/flat,tier2,B,18,84.4,55.6,33.7,75.4,0.3051,-0.58,0.24,coin-toss
WTI,14,flat/flat/flat,tier2,A,18,84.4,55.6,33.7,75.4,0.3051,-0.58,0.24,coin-toss
WTI,14,flat/flat/flat,tier4,B,6,44.4,100.0,61.0,100.0,0.4526,13.859,0.08,PREDICTIVE
WTI,14,flat/flat/flat,tier4,A,6,81.1,33.3,9.7,70.0,0.4526,-0.272,0.08,coin-toss
WTI,15,flat/flat/UP,tier2,B,1,93.8,100.0,20.7,100.0,0.2978,9.954,0.1,coin-toss
WTI,15,flat/flat/UP,tier2,A,1,93.8,100.0,20.7,100.0,0.2978,9.954,0.1,coin-toss
WTI,15,flat/flat/UP,tier4,B,2,37.5,0.0,0.0,65.8,0.3098,-1.506,0.2,coin-toss
WTI,15,flat/flat/UP,tier4,A,2,62.5,100.0,34.2,100.0,0.3098,23.482,0.2,coin-toss
WTI,17,flat/UP/flat,tier2,B,5,88.7,20.0,3.6,62.4,0.2523,-1.402,0.385,coin-toss
WTI,17,flat/UP/flat,tier2,A,5,88.7,20.0,3.6,62.4,0.2523,-1.402,0.385,coin-toss
WTI,17,flat/UP/flat,tier4,B,2,42.9,50.0,9.5,90.5,0.3686,4.618,0.154,coin-toss
WTI,17,flat/UP/flat,tier4,A,2,57.1,50.0,9.5,90.5,0.3686,-4.618,0.154,coin-toss
WTI,18,flat/UP/UP,tier2,B,16,93.5,75.0,50.5,89.8,0.3677,7.657,0.34,PREDICTIVE
WTI,18,flat/UP/UP,tier2,A,16,93.5,75.0,50.5,89.8,0.3677,7.657,0.34,PREDICTIVE
WTI,18,flat/UP/UP,tier4,B,10,44.8,60.0,31.3,83.2,0.3975,0.71,0.213,coin-toss
WTI,18,flat/UP/UP,tier4,A,10,70.2,20.0,5.7,51.0,0.3975,-0.233,0.213,coin-toss
