asset,type,signs,n,WF_pct,LB,UB,zone,pulled
WTI,1,DN/DN/DN,19,57.9,36.3,76.9,COIN-TOSS,False
WTI,2,DN/DN/flat,57,42.1,30.2,55.0,COIN-TOSS,False
WTI,3,DN/DN/UP,15,66.7,41.7,84.8,COIN-TOSS,False
WTI,4,DN/flat/DN,0,,,,empty,False
WTI,5,DN/flat/flat,6,50.0,18.8,81.2,COIN-TOSS,False
WTI,6,DN/flat/UP,24,66.7,46.7,82.0,COIN-TOSS,False
WTI,7,DN/UP/DN,0,,,,empty,False
WTI,8,DN/UP/flat,0,,,,empty,False
WTI,9,DN/UP/UP,26,46.2,28.8,64.5,COIN-TOSS,False
WTI,10,flat/DN/DN,15,60.0,35.7,80.2,COIN-TOSS,False
WTI,11,flat/DN/flat,10,30.0,10.8,60.3,COIN-TOSS,False
WTI,12,flat/DN/UP,0,,,,empty,False
WTI,13,flat/flat/DN,5,60.0,23.1,88.2,COIN-TOSS,False
WTI,14,flat/flat/flat,72,48.6,37.4,59.9,COIN-TOSS,False
WTI,15,flat/flat/UP,10,50.0,23.7,76.3,COIN-TOSS,False
WTI,16,flat/UP/DN,0,,,,empty,False
WTI,17,flat/UP/flat,13,46.2,23.2,70.9,COIN-TOSS,False
WTI,18,flat/UP/UP,47,61.7,47.4,74.2,COIN-TOSS,False
WTI,19,UP/DN/DN,20,35.0,18.1,56.7,COIN-TOSS,False
WTI,20,UP/DN/flat,0,,,,empty,False
WTI,21,UP/DN/UP,0,,,,empty,False
WTI,22,UP/flat/DN,8,62.5,30.6,86.3,COIN-TOSS,False
WTI,23,UP/flat/flat,4,50.0,15.0,85.0,COIN-TOSS,False
WTI,24,UP/flat/UP,0,,,,empty,False
WTI,25,UP/UP/DN,30,70.0,52.1,83.3,PREDICTIVE,True
WTI,26,UP/UP/flat,34,76.5,60.0,87.6,PREDICTIVE,True
WTI,27,UP/UP/UP,4,75.0,30.1,95.4,COIN-TOSS,False
