t,date,ret3,lab,scored,typ,n_type_train,base_dir,n_screened,n_survivors,max_r2,split_attempted,status,reason,primary,primary_dir,primary_J,chosen_r2,primary_thresh_z,primary_z_t,tier,leaf_n,leaf_raw,flipA,flipB,predA,predB,is_accA,is_accB,hitA,hitB,model3
1428,1990-01-01,-0.005265170456216772,-1,True,12,115.0,1.0,25.0,0.0,0.08760839828958095,True,abstain,gate-fail-r2,,,,,,,,,,,,,,,,,,
1429,1990-02-01,0.05991829323649567,1,True,0,137.0,-1.0,30.0,2.0,0.42168472716759936,True,emitted,,Gold_Close:Z6,<,0.8888888888888888,0.3895532274556062,-0.4940483784856931,2.040093359569532,tier4,8.0,0.0,True,True,1.0,1.0,1.0,1.0,1.0,1.0,
1430,1990-03-01,0.06479347633398347,1,True,9,8.0,-1.0,0.0,0.0,0.0,True,abstain,degenerate-screen,,,,,,,,,,,,,,,,,,
1431,1990-04-01,0.0646105624223785,1,True,9,8.0,-1.0,0.0,0.0,0.0,True,abstain,degenerate-screen,,,,,,,,,,,,,,,,,,
1432,1990-05-01,-0.05567451820128477,-1,True,12,117.0,1.0,45.0,2.0,0.26894364832890916,True,emitted,,Dollar_Index:Z12,<,0.715686274509804,0.26894364832890916,0.3560069481681878,0.031051732721155367,tier2,16.0,0.9375,False,False,1.0,1.0,0.9375,0.9375,0.0,0.0,
1433,1990-06-01,-0.12480923444046721,-1,True,12,117.0,1.0,45.0,2.0,0.26894364832890916,True,emitted,,Dollar_Index:Z12,<,0.715686274509804,0.26894364832890916,0.3560069481681878,-0.9635121285437999,tier2,16.0,0.9375,False,False,1.0,1.0,0.9375,0.9375,0.0,0.0,
1434,1990-07-01,-0.14695997555759233,-1,True,12,116.0,1.0,45.0,2.0,0.36759120074996365,True,emitted,,Dollar_Index:Z12,<,0.8823529411764706,0.36759120074996365,0.3246969269082868,-0.9895082765605498,tier2,15.0,1.0,False,False,1.0,1.0,1.0,1.0,0.0,0.0,
1435,1990-08-01,-0.04674225245653807,-1,True,12,117.0,1.0,46.0,2.0,0.3206994423932141,True,emitted,,Dollar_Index:Z12,<,0.715686274509804,0.3206994423932141,0.3325285509131035,-0.9837391183967595,tier2,16.0,0.9375,False,False,1.0,1.0,0.9375,0.9375,0.0,0.0,
1436,1990-09-01,0.042294156811768735,1,True,1,163.0,-1.0,45.0,0.0,0.16334446566140148,True,abstain,gate-fail-r2,,,,,,,,,,,,,,,,,,
1437,1990-10-01,0.059813753581661855,1,True,1,163.0,-1.0,45.0,0.0,0.16334446566140148,True,abstain,gate-fail-r2,,,,,,,,,,,,,,,,,,
1438,1990-11-01,0.14897396048082712,1,True,1,164.0,-1.0,45.0,0.0,0.16334446566140148,True,abstain,gate-fail-r2,,,,,,,,,,,,,,,,,,
1439,1990-12-01,0.1324106463878325,1,True,1,165.0,-1.0,45.0,0.0,0.13298578179020873,True,abstain,gate-fail-r2,,,,,,,,,,,,,,,,,,
1440,1991-01-01,0.16648744969123475,1,True,1,166.0,-1.0,45.0,0.0,0.10894905966684598,True,abstain,gate-fail-r2,,,,,,,,,,,,,,,,,,
