t,date,ret3,lab,scored,typ,status,reason,n_type_train,base_dir,n_screened,n_survivors,max_r2,split_attempted,predB,predA,is_accB,is_accA,hitB,hitA,primary,primary_dir,primary_J,chosen_r2,primary_thresh_z,primary_z_t,model3,tier,leaf_n,leaf_raw,flipA,flipB,secondary
0,2000-08-01,-0.03164293426446507,-1,True,-1,abstain,anchor-leg-missing,,,,,,,,,,,,,,,,,,,,,,,,,
1,2000-09-01,-0.07274186787323111,-1,True,-1,abstain,anchor-leg-missing,,,,,,,,,,,,,,,,,,,,,,,,,
2,2000-10-01,-0.0735833776865098,-1,True,-1,abstain,anchor-leg-missing,,,,,,,,,,,,,,,,,,,,,,,,,
3,2000-11-01,0.003351443955554867,1,True,-1,abstain,anchor-leg-missing,,,,,,,,,,,,,,,,,,,,,,,,,
4,2000-12-01,-0.052801700993290845,-1,True,-1,abstain,anchor-leg-missing,,,,,,,,,,,,,,,,,,,,,,,,,
5,2001-01-01,-0.05434548147228002,-1,True,-1,abstain,anchor-leg-missing,,,,,,,,,,,,,,,,,,,,,,,,,
6,2001-02-01,-0.09185805025565041,-1,True,-1,abstain,anchor-leg-missing,,,,,,,,,,,,,,,,,,,,,,,,,
7,2001-03-01,0.003185424124141356,1,True,-1,abstain,anchor-leg-missing,,,,,,,,,,,,,,,,,,,,,,,,,
8,2001-04-01,-0.0048859723445533465,-1,True,-1,abstain,anchor-leg-missing,,,,,,,,,,,,,,,,,,,,,,,,,
9,2001-05-01,-0.03057468963655252,-1,True,-1,abstain,train<MIN_TRAIN,,,,,,,,,,,,,,,,,,,,,,,,,
10,2001-06-01,-0.060557887588639114,-1,True,-1,abstain,train<MIN_TRAIN,,,,,,,,,,,,,,,,,,,,,,,,,
11,2001-07-01,0.0846387637954722,1,True,-1,abstain,train<MIN_TRAIN,,,,,,,,,,,,,,,,,,,,,,,,,
12,2001-08-01,-0.0049798217712290205,-1,True,-1,abstain,train<MIN_TRAIN,,,,,,,,,,,,,,,,,,,,,,,,,
13,2001-09-01,0.014002802540614034,1,True,-1,abstain,train<MIN_TRAIN,,,,,,,,,,,,,,,,,,,,,,,,,
14,2001-10-01,-0.024358680224918272,-1,True,-1,abstain,train<MIN_TRAIN,,,,,,,,,,,,,,,,,,,,,,,,,
15,2001-11-01,0.026215474479098555,1,True,-1,abstain,train<MIN_TRAIN,,,,,,,,,,,,,,,,,,,,,,,,,
16,2001-12-01,0.08309523641927985,1,True,-1,abstain,train<MIN_TRAIN,,,,,,,,,,,,,,,,,,,,,,,,,
17,2002-01-01,0.03645602320340591,1,True,-1,abstain,train<MIN_TRAIN,,,,,,,,,,,,,,,,,,,,,,,,,
18,2002-02-01,0.05178810048838711,1,True,-1,abstain,train<MIN_TRAIN,,,,,,,,,,,,,,,,,,,,,,,,,
19,2002-03-01,0.11409102611084498,1,True,-1,abstain,train<MIN_TRAIN,,,,,,,,,,,,,,,,,,,,,,,,,
20,2002-04-01,0.03751867807036979,1,True,-1,abstain,train<MIN_TRAIN,,,,,,,,,,,,,,,,,,,,,,,,,
21,2002-05-01,0.011260790560034595,1,True,-1,abstain,train<MIN_TRAIN,,,,,,,,,,,,,,,,,,,,,,,,,
