variant,entity,window,way,n,CAGR,Sortino,Calmar,MaxDD,total
without_cells,SPY,full,fire,282,0.12856825636206737,2.2887733832163133,1.0074419319983687,-0.12761852795529216,17.15552519427852
without_cells,SPY,full,cal,440,0.08060149520178062,1.832318684519256,0.6315814521071522,-0.12761852795529216,17.15552519427852
without_cells,SPY,last10,fire,82,0.16372922539825918,3.4479887844999695,1.4215277162483875,-0.11517835602274695,2.818306773820755
without_cells,SPY,last10,cal,121,0.1082224286016582,2.8384423996023203,0.9396073389021545,-0.11517835602274695,2.818306773820755
without_cells,Gold,full,fire,85,0.10741460345998499,1.023319017753552,0.34445322745841334,-0.3118408971010539,2.0599858833982574
without_cells,Gold,full,cal,439,0.01995129250976535,0.4502857964333663,0.06397907617389907,-0.3118408971010539,2.0599858833982574
without_cells,Gold,last10,fire,19,0.34334328412330106,6.653744908104156,5.696391139304078,-0.06027382525653724,1.5957423217126514
without_cells,Gold,last10,cal,120,0.04784314442121729,2.6475997065586245,0.7937632001550834,-0.06027382525653724,1.5957423217126514
without_cells,Silver,full,fire,61,0.5011948758606761,3.2091400572189364,2.393988758412609,-0.20935556781519948,7.886575333659328
without_cells,Silver,full,cal,313,0.08239430837140249,1.41671150325077,0.39356158152972015,-0.20935556781519948,7.886575333659328
without_cells,Silver,last10,fire,35,0.45093645666777515,3.0518394916106675,2.153926267037818,-0.20935556781519937,2.961245949904885
without_cells,Silver,last10,cal,121,0.11367327934460558,1.6413569015984435,0.542967548132975,-0.20935556781519937,2.961245949904885
without_cells,WTI,full,fire,64,0.4706616853941279,2.6137294024435103,1.9224405629855754,-0.24482509080186288,7.823507134627722
without_cells,WTI,full,cal,439,0.05784246579786956,0.9979719856160197,0.23626036697636316,-0.24482509080186288,7.823507134627722
without_cells,WTI,last10,fire,12,1.1945632407481925,3.963109985691086,5.433064166232016,-0.2198691574770515,2.1945632407481925
without_cells,WTI,last10,cal,120,0.0817696930422529,1.2532454172541145,0.37190160721286014,-0.2198691574770515,2.1945632407481925
without_cells,USD,full,fire,0,,,,,
without_cells,USD,full,cal,439,0.0,,,0.0,1.0
without_cells,USD,last10,fire,0,,,,,
without_cells,USD,last10,cal,120,0.0,,,0.0,1.0
without_cells,BOOK,full,fire,350,0.06175272992991632,2.467406648285251,0.8707073545070299,-0.07092248573561089,5.741368653316128
without_cells,BOOK,full,cal,440,0.04881869729922372,2.2006370197579312,0.6883387799070242,-0.07092248573561089,5.741368653316128
without_cells,BOOK,last10,fire,98,0.09300961694446874,3.877711481118854,2.115112870120867,-0.04397383149541034,2.0674222964996147
without_cells,BOOK,last10,cal,121,0.07468759101781619,3.4897622884524564,1.6984553876232396,-0.04397383149541034,2.0674222964996147
with_cells,SPY,full,fire,282,0.12856825636206737,2.2887733832163133,1.0074419319983687,-0.12761852795529216,17.15552519427852
with_cells,SPY,full,cal,440,0.08060149520178062,1.832318684519256,0.6315814521071522,-0.12761852795529216,17.15552519427852
with_cells,SPY,last10,fire,82,0.16372922539825918,3.4479887844999695,1.4215277162483875,-0.11517835602274695,2.818306773820755
with_cells,SPY,last10,cal,121,0.1082224286016582,2.8384423996023203,0.9396073389021545,-0.11517835602274695,2.818306773820755
with_cells,Gold,full,fire,106,0.09096182181633172,0.9363337263392789,0.2743078092064765,-0.33160492980301226,2.1576668164118913
with_cells,Gold,full,cal,439,0.021243754636231182,0.46009905289512826,0.06406344636930125,-0.33160492980301226,2.1576668164118913
with_cells,Gold,last10,fire,23,0.30899652601886407,6.661228569644444,6.072450930253772,-0.050884977016347976,1.675452475222266
with_cells,Gold,last10,cal,120,0.05296324375374306,2.9162693338580277,1.0408424422934768,-0.050884977016347976,1.675452475222266
with_cells,Silver,full,fire,61,0.5011948758606761,3.2091400572189364,2.393988758412609,-0.20935556781519948,7.886575333659328
with_cells,Silver,full,cal,313,0.08239430837140249,1.41671150325077,0.39356158152972015,-0.20935556781519948,7.886575333659328
with_cells,Silver,last10,fire,35,0.45093645666777515,3.0518394916106675,2.153926267037818,-0.20935556781519937,2.961245949904885
with_cells,Silver,last10,cal,121,0.11367327934460558,1.6413569015984435,0.542967548132975,-0.20935556781519937,2.961245949904885
with_cells,WTI,full,fire,80,0.5042119342352696,2.736521212969138,2.059478187402486,-0.24482509080186288,15.207583158750053
with_cells,WTI,full,cal,439,0.0772374434535148,1.168184803696037,0.3154800972422517,-0.24482509080186288,15.207583158750053
with_cells,WTI,last10,fire,16,0.9271611398057324,3.7265218149428225,4.216876757270985,-0.2198691574770515,2.3982293096159673
with_cells,WTI,last10,cal,120,0.0914128698313581,1.3607333727195174,0.4157603134532372,-0.2198691574770515,2.3982293096159673
with_cells,USD,full,fire,0,,,,,
with_cells,USD,full,cal,439,0.0,,,0.0,1.0
with_cells,USD,last10,fire,0,,,,,
with_cells,USD,last10,cal,120,0.0,,,0.0,1.0
with_cells,BOOK,full,fire,358,0.06566514473480001,2.4968685472923386,0.9258720144072571,-0.07092248573561089,6.668365242980151
with_cells,BOOK,full,cal,440,0.05310883384343179,2.2522202228628636,0.7488292787905673,-0.07092248573561089,6.668365242980151
with_cells,BOOK,last10,fire,99,0.09582578394136809,3.9816925241817267,2.17915475369413,-0.04397383149541034,2.1274898529286452
with_cells,BOOK,last10,cal,121,0.077744424676639,3.6015763999837858,1.7679702230348833,-0.04397383149541034,2.1274898529286452
