type,sign,tier,variant,n,IS_pct,Bayes_pct,AvgRet_ok,Cov,O_val,o_cov,R2_chosen,WF_OOS_3m_pct,LB,LB_ovl
1,DN/DN/DN,tier2,B,4,83.6,83.3,20.24,0.114,25.662,2.933,0.2736,100.0,51.0,25.8
1,DN/DN/DN,tier2,A,4,83.6,83.3,20.24,0.114,25.662,2.933,0.2736,100.0,51.0,25.8
1,DN/DN/DN,tier4,B,17,80.5,36.8,8.78,0.486,-0.674,-0.327,0.3251,35.3,17.3,10.3
1,DN/DN/DN,tier4,A,17,89.0,21.1,3.89,0.486,-0.363,-0.176,0.3251,17.6,6.2,3.2
2,DN/DN/flat,tier2,B,9,93.3,36.4,7.27,0.281,-0.387,-0.109,0.3521,33.3,12.1,6.1
2,DN/DN/flat,tier2,A,9,93.3,36.4,7.27,0.281,-0.387,-0.109,0.3521,33.3,12.1,6.1
2,DN/DN/flat,tier4,B,8,94.8,90.0,7.7,0.25,11.837,2.959,0.3896,100.0,67.6,41.0
2,DN/DN/flat,tier4,A,8,94.8,90.0,7.7,0.25,11.837,2.959,0.3896,100.0,67.6,41.0
3,DN/DN/UP,tier4,B,1,37.5,33.3,0.0,0.125,-1.028,-0.128,0.2226,0.0,0.0,0.0
3,DN/DN/UP,tier4,A,1,62.5,66.7,8.01,0.125,5.815,0.727,0.2226,100.0,20.7,20.7
13,flat/flat/DN,tier2,B,8,85.2,50.0,6.69,0.381,-0.47,-0.179,0.3079,50.0,21.5,11.6
13,flat/flat/DN,tier2,A,8,85.2,50.0,6.69,0.381,-0.47,-0.179,0.3079,50.0,21.5,11.6
13,flat/flat/DN,tier4,B,7,29.9,44.4,4.25,0.333,-0.912,-0.304,0.2581,42.9,15.8,8.0
13,flat/flat/DN,tier4,A,7,79.2,44.4,10.03,0.333,0.393,0.131,0.2581,42.9,15.8,8.0
15,flat/flat/UP,tier2,B,19,90.7,61.9,2.49,0.365,0.445,0.163,0.4781,63.2,41.0,28.1
15,flat/flat/UP,tier2,A,19,90.7,61.9,2.49,0.365,0.445,0.163,0.4781,63.2,41.0,28.1
15,flat/flat/UP,tier3,B,3,69.2,80.0,7.61,0.058,8.712,0.503,0.2426,100.0,43.8,20.7
15,flat/flat/UP,tier3,A,3,69.2,80.0,7.61,0.058,8.712,0.503,0.2426,100.0,43.8,20.7
17,flat/UP/flat,tier2,B,4,96.0,66.7,3.64,0.129,1.868,0.241,0.3677,75.0,30.1,14.8
17,flat/UP/flat,tier2,A,4,96.0,66.7,3.64,0.129,1.868,0.241,0.3677,75.0,30.1,14.8
17,flat/UP/flat,tier4,B,4,29.2,50.0,4.89,0.129,0.519,0.067,0.3309,50.0,15.0,6.9
17,flat/UP/flat,tier4,A,4,70.8,50.0,1.95,0.129,-0.519,-0.067,0.3309,50.0,15.0,6.9
23,UP/flat/flat,tier2,B,1,87.5,66.7,5.35,0.5,3.883,1.941,0.2508,100.0,20.7,20.7
23,UP/flat/flat,tier2,A,1,87.5,66.7,5.35,0.5,3.883,1.941,0.2508,100.0,20.7,20.7
25,UP/UP/DN,tier2,B,6,97.9,62.5,1.82,0.667,-0.713,-0.476,0.2414,66.7,30.0,15.9
25,UP/UP/DN,tier2,A,6,97.9,62.5,1.82,0.667,-0.713,-0.476,0.2414,66.7,30.0,15.9
25,UP/UP/DN,tier4,B,1,50.0,66.7,1.61,0.111,1.172,0.13,0.2541,100.0,20.7,20.7
25,UP/UP/DN,tier4,A,1,50.0,66.7,1.61,0.111,1.172,0.13,0.2541,100.0,20.7,20.7
26,UP/UP/flat,tier2,B,3,90.0,20.0,0.0,0.051,-0.089,-0.005,0.3332,0.0,0.0,0.0
26,UP/UP/flat,tier2,A,3,90.0,20.0,0.0,0.051,-0.089,-0.005,0.3332,0.0,0.0,0.0
26,UP/UP/flat,tier4,B,1,22.2,33.3,0.0,0.017,-0.061,-0.001,0.4957,0.0,0.0,0.0
26,UP/UP/flat,tier4,A,1,77.8,66.7,0.47,0.017,0.344,0.006,0.4957,100.0,20.7,20.7
