Date,nxt,y,rd,rd_c,od,od_c,sc,sc_c
1990-01-01,-1.0,-1.0,1.0,0.5,,,-1.0,0.38461538461538464
1990-02-01,1.0,1.0,-1.0,0.5,,,-1.0,0.4852941176470588
1990-03-01,-1.0,-1.0,-1.0,0.5,,,1.0,0.5915492957746479
1990-04-01,1.0,1.0,-1.0,1.0,,,-1.0,0.2
1990-05-01,1.0,1.0,1.0,0.0,,,1.0,0.7
1990-06-01,-1.0,-1.0,1.0,0.5,1.0,0.6666666666666666,1.0,0.7083333333333334
1990-07-01,-1.0,-1.0,1.0,0.3333333333333333,,,-1.0,0.47368421052631576
1990-08-01,-1.0,-1.0,1.0,0.25,-1.0,0.0,,
1990-09-01,-1.0,-1.0,1.0,0.5,1.0,0.5,1.0,0.5
1990-10-01,1.0,1.0,1.0,0.0,1.0,0.6666666666666666,1.0,0.7272727272727273
1990-11-01,1.0,1.0,1.0,0.5,,,1.0,0.5555555555555556
1990-12-01,-1.0,-1.0,1.0,0.6666666666666666,,,1.0,0.611764705882353
1991-01-01,1.0,1.0,1.0,0.5,,,-1.0,0.4883720930232558
1991-02-01,1.0,1.0,-1.0,0.5,,,1.0,1.0
1991-03-01,1.0,1.0,1.0,0.5,,,1.0,0.5294117647058824
1991-04-01,-1.0,-1.0,1.0,1.0,,,1.0,0.53125
1991-05-01,1.0,1.0,1.0,0.5,,,-1.0,0.4090909090909091
1991-06-01,1.0,1.0,1.0,0.6666666666666666,,,1.0,0.5
1991-07-01,1.0,1.0,1.0,0.75,,,1.0,1.0
1991-08-01,-1.0,-1.0,1.0,0.2,,,1.0,0.6
1991-09-01,-1.0,-1.0,1.0,0.16666666666666666,,,1.0,0.7142857142857143
1991-10-01,-1.0,-1.0,1.0,0.14285714285714285,,,1.0,1.0
1991-11-01,1.0,1.0,1.0,0.125,,,,
1991-12-01,1.0,1.0,1.0,0.2222222222222222,-1.0,0.2,1.0,0.5
1992-01-01,-1.0,-1.0,1.0,0.8,,,1.0,0.6666666666666666
1992-02-01,-1.0,-1.0,1.0,0.3,,,1.0,0.5555555555555556
1992-03-01,1.0,1.0,1.0,0.2727272727272727,,,-1.0,0.2222222222222222
1992-04-01,1.0,1.0,1.0,0.3333333333333333,,,1.0,0.8333333333333334
1992-05-01,-1.0,-1.0,1.0,0.5,,,1.0,0.5384615384615384
1992-06-01,1.0,1.0,1.0,0.5,,,1.0,0.6363636363636364
1992-07-01,1.0,1.0,1.0,1.0,,,1.0,0.609375
1992-08-01,1.0,1.0,1.0,0.5,,,1.0,0.6590909090909091
1992-09-01,-1.0,-1.0,1.0,1.0,,,1.0,0.5925925925925926
1992-10-01,1.0,1.0,1.0,0.5,,,1.0,0.5833333333333334
1992-11-01,1.0,1.0,1.0,0.6666666666666666,,,1.0,0.8888888888888888
1992-12-01,-1.0,-1.0,1.0,0.75,,,1.0,0.6710526315789473
1993-01-01,1.0,1.0,1.0,0.6,,,1.0,0.5
1993-02-01,1.0,1.0,1.0,0.6666666666666666,,,1.0,0.6666666666666666
1993-03-01,-1.0,-1.0,1.0,0.7142857142857143,1.0,1.0,1.0,0.7142857142857143
1993-04-01,1.0,1.0,1.0,1.0,,,-1.0,0.43243243243243246
1993-05-01,1.0,1.0,1.0,1.0,,,1.0,0.6438356164383562
1993-06-01,-1.0,-1.0,1.0,1.0,,,1.0,0.6530612244897959
1993-07-01,1.0,1.0,1.0,0.8,,,1.0,0.5185185185185185
1993-08-01,1.0,1.0,1.0,0.8333333333333334,,,1.0,0.6842105263157895
1993-09-01,1.0,1.0,1.0,0.8571428571428571,-1.0,0.3333333333333333,1.0,0.6129032258064516
1993-10-01,-1.0,-1.0,1.0,0.875,,,1.0,0.6511627906976745
1993-11-01,1.0,1.0,1.0,0.625,,,1.0,0.5806451612903226
1993-12-01,1.0,1.0,1.0,0.6666666666666666,,,1.0,0.7777777777777778
1994-01-01,-1.0,-1.0,1.0,0.7,,,1.0,0.696969696969697
1994-02-01,-1.0,-1.0,1.0,0.6363636363636364,,,1.0,0.5
1994-03-01,-1.0,-1.0,1.0,0.5833333333333334,,,1.0,0.5416666666666666
1994-04-01,1.0,1.0,1.0,0.5384615384615384,-1.0,0.3333333333333333,-1.0,0.2222222222222222
1994-05-01,1.0,1.0,1.0,0.5714285714285714,1.0,1.0,1.0,0.5531914893617021
1994-06-01,-1.0,-1.0,1.0,0.6,,,1.0,0.5955056179775281
1994-07-01,1.0,1.0,1.0,0.5,,,1.0,0.5111111111111111
1994-08-01,1.0,1.0,1.0,0.5625,,,1.0,0.6582278481012658
1994-09-01,-1.0,-1.0,1.0,0.5882352941176471,,,1.0,0.6145833333333334
1994-10-01,-1.0,-1.0,1.0,0.5555555555555556,,,1.0,0.5056179775280899
1994-11-01,-1.0,-1.0,1.0,0.5263157894736842,,,1.0,0.5232558139534884
1994-12-01,1.0,1.0,1.0,0.5,,,1.0,0.5205479452054794
1995-01-01,1.0,1.0,1.0,0.5238095238095238,,,1.0,0.5342465753424658
1995-02-01,1.0,1.0,1.0,0.5454545454545454,1.0,0.6666666666666666,1.0,0.5729166666666666
1995-03-01,1.0,1.0,1.0,0.5652173913043478,1.0,0.75,1.0,0.593939393939394
1995-04-01,1.0,1.0,1.0,0.5,1.0,0.8,1.0,0.6666666666666666
1995-05-01,1.0,1.0,1.0,0.5,1.0,0.8333333333333334,1.0,0.6981981981981982
1995-06-01,1.0,1.0,1.0,1.0,1.0,0.8571428571428571,1.0,0.7094017094017094
1995-07-01,1.0,1.0,1.0,1.0,1.0,0.875,1.0,0.7092511013215859
1995-08-01,1.0,1.0,1.0,1.0,-1.0,0.25,1.0,0.525
1995-09-01,1.0,1.0,1.0,0.5,,,,
1995-10-01,1.0,1.0,1.0,1.0,,,1.0,1.0
1995-11-01,1.0,1.0,1.0,1.0,,,1.0,0.5517241379310345
1995-12-01,-1.0,-1.0,1.0,1.0,1.0,1.0,1.0,0.8666666666666667
1996-01-01,1.0,1.0,-1.0,0.5,,,,
1996-02-01,-1.0,-1.0,1.0,0.75,,,,
1996-03-01,1.0,1.0,1.0,0.5,,,,
1996-04-01,1.0,1.0,-1.0,0.0,,,,
1996-05-01,1.0,1.0,1.0,0.0,,,1.0,0.5625
1996-06-01,-1.0,-1.0,1.0,0.7777777777777778,,,-1.0,0.45454545454545453
1996-07-01,1.0,1.0,1.0,0.7,,,-1.0,0.1875
1996-08-01,1.0,1.0,1.0,0.7272727272727273,,,1.0,1.0
1996-09-01,1.0,1.0,1.0,0.75,,,1.0,0.8571428571428571
1996-10-01,1.0,1.0,1.0,0.7692307692307693,-1.0,0.3333333333333333,-1.0,0.4
1996-11-01,1.0,1.0,1.0,1.0,,,1.0,0.8461538461538461
1996-12-01,1.0,1.0,1.0,1.0,1.0,0.6666666666666666,1.0,0.6896551724137931
1997-01-01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.7142857142857143
1997-02-01,-1.0,-1.0,1.0,1.0,1.0,0.75,1.0,0.8666666666666667
1997-03-01,-1.0,-1.0,1.0,0.8333333333333334,,,1.0,1.0
1997-04-01,1.0,1.0,1.0,0.5833333333333334,,,,
1997-05-01,1.0,1.0,1.0,0.6,,,1.0,0.6666666666666666
1997-06-01,1.0,1.0,1.0,0.6666666666666666,,,,
1997-07-01,1.0,1.0,1.0,0.7142857142857143,,,,
1997-08-01,1.0,1.0,1.0,0.75,1.0,0.6666666666666666,,
1997-09-01,1.0,1.0,1.0,0.7777777777777778,,,,
1997-10-01,-1.0,-1.0,1.0,0.8,,,-1.0,0.3888888888888889
1997-11-01,1.0,1.0,1.0,0.7272727272727273,,,-1.0,0.4805194805194805
1997-12-01,1.0,1.0,1.0,0.3333333333333333,,,1.0,0.6666666666666666
1998-01-01,1.0,1.0,1.0,0.7857142857142857,,,-1.0,0.16666666666666666
1998-02-01,1.0,1.0,1.0,0.5,,,,
1998-03-01,1.0,1.0,1.0,0.75,,,1.0,1.0
1998-04-01,-1.0,-1.0,1.0,0.7692307692307693,1.0,1.0,1.0,0.7
1998-05-01,-1.0,-1.0,1.0,0.7142857142857143,1.0,0.75,,
