pattern,n,acc,lb
-2-1-2-1,3.0,1.0,0.4384939195509822
-1-1-2+1,2.0,1.0,0.3423719528896193
-2+1-1-1,2.0,1.0,0.3423719528896193
-2+1-2+1,1.0,1.0,0.20654329147389294
-1-1+2+2,1.0,1.0,0.20654329147389294
-1-1+1+2,1.0,1.0,0.20654329147389294
-1-1-2-2,1.0,1.0,0.20654329147389294
-1+2+2+2,1.0,1.0,0.20654329147389294
-1+2+1+1,1.0,1.0,0.20654329147389294
-1-2+2+1,1.0,1.0,0.20654329147389294
-1-2-1-1,1.0,1.0,0.20654329147389294
+2-1+1+1,1.0,1.0,0.20654329147389294
+2+2+1-1,1.0,1.0,0.20654329147389294
+2+1-1+2,1.0,1.0,0.20654329147389294
+2+2-1+1,1.0,1.0,0.20654329147389294
-2+2-1-1,1.0,1.0,0.20654329147389294
+1+1-1+1,1.0,1.0,0.20654329147389294
+1-2+1-1,1.0,1.0,0.20654329147389294
+1+2-2+1,1.0,1.0,0.20654329147389294
+1-1+1-1,1.0,1.0,0.20654329147389294
+1-1+2+2,1.0,1.0,0.20654329147389294
-1-1-1-1,4.0,0.5,0.15003570882017145
-1-2-1-2,4.0,0.5,0.15003570882017145
-1+2+2+3,2.0,0.5,0.09452865480086611
+1+2+2-2,2.0,0.5,0.09452865480086611
+1-1-2-1,2.0,0.5,0.09452865480086611
-2+2-1+1,2.0,0.5,0.09452865480086611
+2-1-2+2,2.0,0.5,0.09452865480086611
-1-2+2-1,2.0,0.5,0.09452865480086611
-2+2+2+1,1.0,0.0,0.0
-2-1-1-1,1.0,0.0,0.0
-1-2+1-1,1.0,0.0,0.0
-2+2+2-2,1.0,0.0,0.0
-2+1-1-2,3.0,0.0,0.0
-1-1-1-2,1.0,0.0,0.0
+1+1+2+2,2.0,0.0,0.0
-1-1-1+1,1.0,0.0,0.0
+2+2-2+1,1.0,0.0,0.0
+1-1-1-2,1.0,0.0,0.0
+1-1-2+1,1.0,0.0,0.0
+1-1-2+2,1.0,0.0,0.0
+1-2+1+1,1.0,0.0,0.0
+1-2+2+2,1.0,0.0,0.0
+1-2-1-2,1.0,0.0,0.0
+2-1+2+2,1.0,0.0,0.0
-1+2-1-2,1.0,0.0,0.0
+2-1-1+1,1.0,0.0,0.0
+2-1-1-1,1.0,0.0,0.0
-1+1+2+2,1.0,0.0,0.0
-1+1-1-2,1.0,0.0,0.0
+1+1+2-2,1.0,0.0,0.0
-1+2+2-1,1.0,0.0,0.0
-1+1-2+1,1.0,0.0,0.0
