predictor,N,H,n_reliable,coverage,blended_acc,pull_yield,n_scored
VIX/Dollar,26,1,0,0.0,0.0,0.0,208
VIX/Dollar,26,2,0,0.0,0.0,0.0,207
VIX/Dollar,26,3,0,0.0,0.0,0.0,206
VIX/Dollar,26,4,0,0.0,0.0,0.0,205
VIX/Dollar,26,6,0,0.0,0.0,0.0,203
VIX/Dollar,26,8,0,0.0,0.0,0.0,201
VIX/Dollar,26,13,0,0.0,0.0,0.0,196
VIX/SP,8,1,0,0.0,0.0,0.0,208
VIX/SP,8,2,0,0.0,0.0,0.0,207
VIX/SP,8,3,0,0.0,0.0,0.0,206
VIX/SP,8,4,0,0.0,0.0,0.0,205
VIX/SP,8,6,0,0.0,0.0,0.0,203
VIX/SP,8,8,0,0.0,0.0,0.0,201
VIX/SP,8,13,0,0.0,0.0,0.0,196
Gold/Dollar,26,1,0,0.0,0.0,0.0,208
Gold/Dollar,26,2,0,0.0,0.0,0.0,207
Gold/Dollar,26,3,0,0.0,0.0,0.0,206
Gold/Dollar,26,4,0,0.0,0.0,0.0,205
Gold/Dollar,26,6,0,0.0,0.0,0.0,203
Gold/Dollar,26,8,0,0.0,0.0,0.0,201
Gold/Dollar,26,13,0,0.0,0.0,0.0,196
