predictor,N,H,n_reliable,coverage,blended_acc,pull_yield,n_scored
VIX/Dollar,8,1,0,0.0,0.0,0.0,520
VIX/Dollar,8,2,0,0.0,0.0,0.0,517
VIX/Dollar,8,3,0,0.0,0.0,0.0,516
VIX/Dollar,8,4,0,0.0,0.0,0.0,516
VIX/Dollar,8,6,0,0.0,0.0,0.0,513
VIX/Dollar,8,8,0,0.0,0.0,0.0,511
VIX/Dollar,8,13,0,0.0,0.0,0.0,508
VIX/SP,8,1,0,0.0,0.0,0.0,520
VIX/SP,8,2,0,0.0,0.0,0.0,517
VIX/SP,8,3,0,0.0,0.0,0.0,516
VIX/SP,8,4,0,0.0,0.0,0.0,516
VIX/SP,8,6,0,0.0,0.0,0.0,513
VIX/SP,8,8,0,0.0,0.0,0.0,511
VIX/SP,8,13,0,0.0,0.0,0.0,508
Gold/Dollar,8,1,0,0.0,0.0,0.0,520
Gold/Dollar,8,2,0,0.0,0.0,0.0,517
Gold/Dollar,8,3,0,0.0,0.0,0.0,516
Gold/Dollar,8,4,0,0.0,0.0,0.0,516
Gold/Dollar,8,6,0,0.0,0.0,0.0,513
Gold/Dollar,8,8,0,0.0,0.0,0.0,511
Gold/Dollar,8,13,0,0.0,0.0,0.0,508
