predictor,N,H,n_reliable,coverage,blended_acc,pull_yield,n_scored
VIX/Dollar,8,1,0,0.0,0.0,0.0,825
VIX/Dollar,8,2,0,0.0,0.0,0.0,824
VIX/Dollar,8,3,0,0.0,0.0,0.0,822
VIX/Dollar,8,4,0,0.0,0.0,0.0,821
VIX/Dollar,8,6,0,0.0,0.0,0.0,820
VIX/Dollar,8,8,0,0.0,0.0,0.0,817
VIX/Dollar,8,13,0,0.0,0.0,0.0,813
VIX/SP,8,1,1,0.0957,0.6452,0.0617,648
VIX/SP,8,2,0,0.0,0.0,0.0,647
VIX/SP,8,3,0,0.0,0.0,0.0,645
VIX/SP,8,4,0,0.0,0.0,0.0,644
VIX/SP,8,6,0,0.0,0.0,0.0,643
VIX/SP,8,8,0,0.0,0.0,0.0,641
VIX/SP,8,13,0,0.0,0.0,0.0,636
Gold/Dollar,8,1,1,0.2424,0.635,0.1539,825
Gold/Dollar,8,2,1,0.2415,0.603,0.1456,824
Gold/Dollar,8,3,0,0.0,0.0,0.0,822
Gold/Dollar,8,4,0,0.0,0.0,0.0,821
Gold/Dollar,8,6,0,0.0,0.0,0.0,820
Gold/Dollar,8,8,0,0.0,0.0,0.0,817
Gold/Dollar,8,13,0,0.0,0.0,0.0,813
