predictor,N,H,n_reliable,coverage,blended_acc,pull_yield,n_scored
VIX/Dollar,8,1,0,0.0,0.0,0.0,426
VIX/Dollar,8,2,0,0.0,0.0,0.0,425
VIX/Dollar,8,3,0,0.0,0.0,0.0,424
VIX/Dollar,8,4,0,0.0,0.0,0.0,423
VIX/Dollar,8,6,0,0.0,0.0,0.0,421
VIX/Dollar,8,8,0,0.0,0.0,0.0,419
VIX/Dollar,8,13,0,0.0,0.0,0.0,414
VIX/SP,8,1,0,0.0,0.0,0.0,426
VIX/SP,8,2,0,0.0,0.0,0.0,425
VIX/SP,8,3,0,0.0,0.0,0.0,424
VIX/SP,8,4,0,0.0,0.0,0.0,423
VIX/SP,8,6,0,0.0,0.0,0.0,421
VIX/SP,8,8,0,0.0,0.0,0.0,419
VIX/SP,8,13,0,0.0,0.0,0.0,414
Gold/Dollar,8,1,0,0.0,0.0,0.0,426
Gold/Dollar,8,2,0,0.0,0.0,0.0,425
Gold/Dollar,8,3,0,0.0,0.0,0.0,424
Gold/Dollar,8,4,0,0.0,0.0,0.0,423
Gold/Dollar,8,6,0,0.0,0.0,0.0,421
Gold/Dollar,8,8,0,0.0,0.0,0.0,419
Gold/Dollar,8,13,0,0.0,0.0,0.0,414
