predictor,N,H,n_reliable,coverage,blended_acc,pull_yield,n_scored
VIX/Dollar,8,1,0,0.0,0.0,0.0,644
VIX/Dollar,8,2,0,0.0,0.0,0.0,647
VIX/Dollar,8,3,0,0.0,0.0,0.0,644
VIX/Dollar,8,4,0,0.0,0.0,0.0,645
VIX/Dollar,8,6,0,0.0,0.0,0.0,642
VIX/Dollar,8,8,0,0.0,0.0,0.0,641
VIX/Dollar,8,13,0,0.0,0.0,0.0,636
VIX/SP,8,1,0,0.0,0.0,0.0,644
VIX/SP,8,2,0,0.0,0.0,0.0,647
VIX/SP,8,3,0,0.0,0.0,0.0,644
VIX/SP,8,4,0,0.0,0.0,0.0,645
VIX/SP,8,6,0,0.0,0.0,0.0,642
VIX/SP,8,8,0,0.0,0.0,0.0,641
VIX/SP,8,13,0,0.0,0.0,0.0,636
Gold/Dollar,26,1,0,0.0,0.0,0.0,644
Gold/Dollar,26,2,0,0.0,0.0,0.0,647
Gold/Dollar,26,3,0,0.0,0.0,0.0,644
Gold/Dollar,26,4,0,0.0,0.0,0.0,645
Gold/Dollar,26,6,0,0.0,0.0,0.0,642
Gold/Dollar,26,8,0,0.0,0.0,0.0,641
Gold/Dollar,26,13,0,0.0,0.0,0.0,636
