predictor,N,H,n_reliable,coverage,blended_acc,pull_yield,n_scored
VIX/Dollar,8,1,2,0.4063,0.6383,0.2594,694
VIX/Dollar,8,2,4,0.5729,0.6776,0.3882,693
VIX/Dollar,8,3,3,0.4805,0.7199,0.3459,691
VIX/Dollar,8,4,2,0.4058,0.75,0.3043,690
VIX/Dollar,8,6,2,0.4035,0.7698,0.3106,689
VIX/Dollar,8,8,1,0.246,0.8166,0.2009,687
VIX/Dollar,8,13,1,0.2449,0.8263,0.2023,682
VIX/SP,13,1,2,0.5692,0.5772,0.3285,694
VIX/SP,13,2,1,0.1429,0.6768,0.0967,693
VIX/SP,13,3,1,0.1433,0.6768,0.097,691
VIX/SP,13,4,1,0.1435,0.7172,0.1029,690
VIX/SP,13,6,1,0.1437,0.7778,0.1118,689
VIX/SP,13,8,1,0.1441,0.8283,0.1194,687
VIX/SP,13,13,1,0.1466,0.9,0.132,682
Gold/Dollar,39,1,0,0.0,0.0,0.0,694
Gold/Dollar,39,2,1,0.1775,0.626,0.1111,693
Gold/Dollar,39,3,1,0.1766,0.6557,0.1158,691
Gold/Dollar,39,4,2,0.4797,0.6737,0.3232,690
Gold/Dollar,39,6,1,0.18,0.7339,0.1321,689
Gold/Dollar,39,8,1,0.1776,0.7623,0.1354,687
Gold/Dollar,39,13,0,0.0,0.0,0.0,682
