generated,week_ending,gen_weekday,midweek_print,backfill,entry_day,ret_fullhold,ret_monclose,status,e_SP,e_GOLD,e_SILVER,e_PT,e_NG,mon_exit,full_exit
2026-06-19 15:40:00,2026-06-26,Friday,0,1,2026-07-01,,,SKIP(non-midweek),0.327,-0.506,,,,,
2026-06-26 11:51:00,2026-07-03,Friday,0,1,2026-07-01,,,SKIP(non-midweek),-0.2943,-0.6832,-0.1242,,,,
2026-07-09 08:36:00,2026-07-10,Thursday,1,1,2026-07-09,,,OPEN,-0.2943,-0.3288,0.2157,,,,
2026-07-15 01:29:00,2026-07-17,Wednesday,1,1,2026-07-15,0.00819,0.012991,RESOLVED,-0.19129,-0.4004,0.0,-0.2079,-0.06325,2026-07-20,2026-07-23
2026-07-22 01:30:00,2026-07-24,Wednesday,1,1,2026-07-23,0.002488,0.008031,RESOLVED,0.19129,-0.4004,0.24375,0.2892,-0.077,2026-07-27,2026-07-29
2026-07-29 02:58:00,2026-07-31,Wednesday,1,1,2026-07-29,0.02162,0.013611,RESOLVED,0.50381,-0.29109,0.27263,-0.13301,-0.13552,2026-08-03,2026-08-06
2026-08-06 03:20:00,2026-08-07,Thursday,1,1,2026-08-06,-0.001874,0.000909,RESOLVED,0.41119,-0.27302,0.19061,-0.0632,-0.077,2026-08-10,2026-08-12
2026-08-12 01:31:00,2026-08-14,Wednesday,1,1,2026-08-12,-0.006296,0.002387,RESOLVED,0.0,0.1819,0.31875,-0.0632,0.0,2026-08-17,2026-08-18
2026-08-17 06:18:00,2026-08-21,Monday,0,0,,,,SKIP(non-midweek),0.0,0.0,0.0,0.0,0.0,,
2026-08-18 10:12:00,2026-08-21,Tuesday,1,0,2026-08-18,,,OPEN,-0.58905,0.0,-0.13196,-0.1771,-0.06325,,
